name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"42.65212038128582, 12.244428530203464",2009-03-15,16.5,6.6,10.8,16.5,5.6,10.6,7,78.53,0,,0,,,,,11,145,1021.1,26.6,9.1,,,,,2009-03-15T06:23:01,2009-03-15T18:17:28,0.61,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"16221099999,16215099999,16181099999,16216099999,16224099999,16214099999"
"42.65212038128582, 12.244428530203464",2009-03-16,15.3,8.6,11.4,15.3,6.3,11,5.5,69.14,2.9,,8.33,,,,,21.3,77.5,1021.8,49.6,12.2,,,,,2009-03-16T06:21:16,2009-03-16T18:18:38,0.65,"Rain, Partially cloudy",Clearing in the afternoon with rain in the morning and afternoon.,rain,"16221099999,16215099999,16181099999,16216099999,16204099999,16224099999,16214099999"
"42.65212038128582, 12.244428530203464",2009-03-17,15.7,5.4,10.9,15.7,3.2,10.2,3.1,60.2,0,,0,,,,,17.7,88.6,1025.3,5.8,15.2,,,,,2009-03-17T06:19:32,2009-03-17T18:19:49,0.7,Clear,Clear conditions throughout the day.,clear-day,"16215099999,16181099999,16216099999,16204099999,16224099999,16214099999"
"42.65212038128582, 12.244428530203464",2009-03-18,18,6.4,11.5,18,6,11,3,57.46,0,,0,,,,,19.2,124.8,1021.8,17.7,11.2,,,,,2009-03-18T06:17:47,2009-03-18T18:20:59,0.74,Clear,Clear conditions throughout the day.,clear-day,"16221099999,16215099999,16181099999,16216099999,16204099999,16224099999,16214099999"
"42.65212038128582, 12.244428530203464",2009-03-19,13,5.5,9.2,13,3.3,8.6,6,81.17,4.23,,4.17,,,,,13,134,1017,78.5,6.8,,,,,2009-03-19T06:16:02,2009-03-19T18:22:09,0.79,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"16221099999,16215099999,16181099999,16216099999,16204099999,16224099999,16214099999"
"42.65212038128582, 12.244428530203464",2009-03-20,6.2,2,4.6,3.7,-4.2,0.3,-0.6,69.73,1.66,,4.17,,,,,38.7,72.3,1011.2,70.1,13.8,,,,,2009-03-20T06:14:17,2009-03-20T18:23:18,0.84,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"16221099999,16215099999,16181099999,16216099999,16204099999,16224099999,16214099999"
"42.65212038128582, 12.244428530203464",2009-03-21,6.1,1.7,3.7,1.6,-4,-1.4,-1.3,69.81,0,,0,,,,,35.3,208.7,1012.9,42.2,12.9,,,,,2009-03-21T06:12:32,2009-03-21T18:24:28,0.88,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"16221099999,16215099999,16181099999,16216099999,16224099999,16214099999"
"42.65212038128582, 12.244428530203464",2009-03-22,10.3,3,6,10.3,-2.9,2.4,-1.7,58.98,0,,0,,,,,35.3,67.9,1015.9,12,13.1,,,,,2009-03-22T06:10:47,2009-03-22T18:25:37,0.92,Clear,Clear conditions throughout the day.,clear-day,"16221099999,16215099999,16181099999,16216099999,16224099999,16214099999"
"42.65212038128582, 12.244428530203464",2009-03-23,14.5,2.6,8.4,14.5,0.5,7.6,0.2,57.27,0,,0,,,,,20.5,191.7,1016.2,5.2,15,,,,,2009-03-23T06:09:01,2009-03-23T18:26:47,0.95,Clear,Clear conditions throughout the day.,clear-day,"16221099999,16215099999,16181099999,16216099999,16204099999,16224099999,16214099999"
"42.65212038128582, 12.244428530203464",2009-03-24,12.9,5,9,12.9,0.2,7.2,5.2,77.95,0,,0,,,,,28.3,210.9,1002.2,66,10.3,,,,,2009-03-24T06:07:16,2009-03-24T18:27:56,0.98,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"16221099999,16215099999,16181099999,16216099999,16204099999,16224099999,16214099999"
"42.65212038128582, 12.244428530203464",2009-03-25,12.3,2.5,7.8,12.3,-0.7,6.1,-1.6,53.21,0.5,,4.17,,,,,29.5,245.2,1006.4,34.6,13.1,,,,,2009-03-25T06:05:31,2009-03-25T18:29:05,1,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"16221099999,16215099999,16181099999,16216099999,16204099999,16224099999,16214099999"
"42.65212038128582, 12.244428530203464",2009-03-26,14.8,4.1,9.5,14.8,2,8.7,2.9,66.88,0,,0,,,,,18.8,226.1,1008.2,38.1,12.8,,,,,2009-03-26T06:03:46,2009-03-26T18:30:14,1,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"16221099999,16215099999,16181099999,16216099999,16204099999,16224099999,16214099999"
"42.65212038128582, 12.244428530203464",2009-03-27,13,5.2,9.3,13,3.7,8.6,6.1,80.99,0,,0,,,,,28.9,161.5,1013.9,50.6,11.6,,,,,2009-03-27T06:02:01,2009-03-27T18:31:23,0,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"16221099999,16215099999,16181099999,16216099999,16204099999,16224099999,16214099999"
"42.65212038128582, 12.244428530203464",2009-03-28,16.1,7.4,11.6,16.1,5,11,7.1,75.59,0.66,,4.17,,,,,16.1,150.7,1009.5,74,12.7,,,,,2009-03-28T06:00:16,2009-03-28T18:32:32,0.02,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"16221099999,16215099999,16181099999,16216099999,16224099999,16214099999"
"42.65212038128582, 12.244428530203464",2009-03-29,17.8,10.9,14.1,17.8,10.9,14.2,11.9,86.3,5.44,,17.39,,,,,42.9,157.4,1002.6,90.1,10.1,,,,,2009-03-29T06:58:31,2009-03-29T19:33:40,0.05,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"16221099999,16215099999,16181099999,16216099999,16224099999,16214099999"
"42.65212038128582, 12.244428530203464",2009-03-30,17.8,11.6,14.1,17.8,11.6,14.1,10.8,81.01,0,,0,,,,,22.3,218.3,1009.6,66.8,7.2,,,,,2009-03-30T06:56:46,2009-03-30T19:34:49,0.09,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"16221099999,16215099999,16181099999,16216099999,16204099999,16224099999,16214099999"
"42.65212038128582, 12.244428530203464",2009-03-31,16,11.9,13.5,16,11.9,13.5,10.9,84.54,1.83,,4.17,,,,,20.5,75,1009.7,48.9,9.9,,,,,2009-03-31T06:55:02,2009-03-31T19:35:58,0.13,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"16221099999,16215099999,16181099999,16216099999,16204099999,16224099999,16214099999"
"42.65212038128582, 12.244428530203464",2009-04-01,15.6,11,13.3,15.6,11,13.3,10.3,82.51,2.74,,12.5,,,,,20.6,144.8,1009.6,77.2,9.3,,,,,2009-04-01T06:53:18,2009-04-01T19:37:06,0.19,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"16221099999,16215099999,16181099999,16216099999,16204099999,16224099999,16214099999"
"42.65212038128582, 12.244428530203464",2009-04-02,16,7.5,11.9,16,6.9,11.9,8.2,78.7,3,,4.17,,,,,16.5,162.5,1014.1,70.9,11.1,,,,,2009-04-02T06:51:34,2009-04-02T19:38:15,0.24,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"16221099999,16181099999,16216099999,16204099999,16224099999,16214099999"
"42.65212038128582, 12.244428530203464",2009-04-03,16.7,6.4,11.9,16.7,5.8,11.9,7.2,74.25,0,,0,,,,,15.7,135.5,1018.1,27.1,12.8,,,,,2009-04-03T06:49:50,2009-04-03T19:39:24,0.3,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"16221099999,16215099999,16181099999,16216099999,16204099999,16224099999,16214099999"
"42.65212038128582, 12.244428530203464",2009-04-04,17.9,8.2,13.8,17.9,8.2,13.8,9.1,74.41,0,,0,,,,,17.4,127.4,1016.6,55.6,12.2,,,,,2009-04-04T06:48:07,2009-04-04T19:40:32,0.36,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"16221099999,16215099999,16181099999,16216099999,16224099999,16214099999"
"42.65212038128582, 12.244428530203464",2009-04-05,19.2,8,13.8,19.2,7.8,13.7,9.6,77.63,0,,0,,,,,16.3,173.9,1017.3,25.2,11.8,,,,,2009-04-05T06:46:24,2009-04-05T19:41:41,0.4,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"16221099999,16215099999,16181099999,16216099999,16224099999,16214099999"
"42.65212038128582, 12.244428530203464",2009-04-06,19.4,8.4,14.7,19.4,7.4,14.6,9.1,71.55,0,,0,,,,,17.3,196.9,1015.5,31.6,11.7,,,,,2009-04-06T06:44:42,2009-04-06T19:42:49,0.44,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"16221099999,16215099999,16181099999,16216099999,16204099999,16224099999,16214099999"
"42.65212038128582, 12.244428530203464",2009-04-07,17.3,7.7,12.9,17.3,7.7,12.9,9.4,79.78,0,,0,,,,,15.6,207.8,1015.3,37.4,9.6,,,,,2009-04-07T06:43:00,2009-04-07T19:43:58,0.47,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"16221099999,16215099999,16181099999,16216099999,16204099999,16224099999,16214099999"
"42.65212038128582, 12.244428530203464",2009-04-08,17.5,7.6,13,17.5,7.2,12.9,7.7,71.69,0,,0,,,,,9.2,133.6,1016.6,40.5,9.5,,,,,2009-04-08T06:41:18,2009-04-08T19:45:06,0.49,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"16221099999,16215099999,16181099999,16216099999,16204099999,16224099999,16214099999"
"42.65212038128582, 12.244428530203464",2009-04-09,19.4,10.8,14.7,19.4,10.8,14.7,8.9,69.36,0.17,,8.33,,,,,9.5,145.5,1016,63.6,12.6,,,,,2009-04-09T06:39:37,2009-04-09T19:46:14,0.5,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"16221099999,16215099999,16181099999,16216099999,16204099999,16224099999,16214099999"
"42.65212038128582, 12.244428530203464",2009-04-10,19.6,8.3,15,19.6,6.6,14.9,8.8,69.5,0,,0,,,,,16.5,144.9,1013.1,48.1,11.8,,,,,2009-04-10T06:37:56,2009-04-10T19:47:23,0.51,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"16221099999,16215099999,16181099999,16216099999,16204099999,16224099999,16214099999"
"42.65212038128582, 12.244428530203464",2009-04-11,19.6,8.4,14.7,19.6,6.4,14.7,8.3,67.7,0,,0,,,,,16.8,121.8,1011.5,46.8,12,,,,,2009-04-11T06:36:16,2009-04-11T19:48:31,0.52,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"16221099999,16215099999,16181099999,16216099999,16224099999,16214099999"
"42.65212038128582, 12.244428530203464",2009-04-12,21.6,9.2,15.3,21.6,9.2,15.3,8,63.67,0,,0,,,,,24,84.1,1005.7,52.5,11.6,,,,,2009-04-12T06:34:36,2009-04-12T19:49:40,0.54,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"16221099999,16215099999,16181099999,16216099999,16224099999,16214099999"
"42.65212038128582, 12.244428530203464",2009-04-13,19.3,12.6,15.3,19.3,12.6,15.3,7.9,62.03,0,,0,,,,,34.7,48.5,999.8,55.4,12.3,,,,,2009-04-13T06:32:58,2009-04-13T19:50:48,0.57,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"16221099999,16215099999,16181099999,16216099999,16224099999,16214099999"
"42.65212038128582, 12.244428530203464",2009-04-14,19.2,8.9,14.2,19.2,7.2,14.2,7.9,67.18,0,,0,,,,,20.8,122.4,1005.7,20.4,11.8,,,,,2009-04-14T06:31:19,2009-04-14T19:51:57,0.62,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"16221099999,16215099999,16181099999,16216099999,16204099999,16224099999,16214099999"
"42.65212038128582, 12.244428530203464",2009-04-15,20.5,7.3,15.2,20.5,6.2,15.1,9.1,69.3,0,,0,,,,,15.1,163.6,1012.5,9.4,11.8,,,,,2009-04-15T06:29:42,2009-04-15T19:53:05,0.66,Clear,Clear conditions throughout the day.,clear-day,"16221099999,16215099999,16181099999,16216099999,16204099999,16224099999,16214099999"
"42.65212038128582, 12.244428530203464",2009-04-16,18.6,9,13.9,18.6,8.2,13.9,9.6,76.56,0,,0,,,,,25.3,201.3,1014.6,48.5,7.8,,,,,2009-04-16T06:28:05,2009-04-16T19:54:14,0.7,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"16221099999,16215099999,16181099999,16216099999,16204099999,16224099999,16214099999"
"42.65212038128582, 12.244428530203464",2009-04-17,16.5,11.1,13.5,16.5,11.1,13.5,8.5,73.26,3.41,,8.33,,,,,21.8,205.8,1013.8,67.9,11.3,,,,,2009-04-17T06:26:29,2009-04-17T19:55:22,0.75,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"16221099999,16215099999,16181099999,16216099999,16204099999,16224099999,16214099999"
"42.65212038128582, 12.244428530203464",2009-04-18,17.1,7,12.4,17.1,5.6,12.3,8.1,76.32,0,,0,,,,,15.3,139,1013.2,65,13.9,,,,,2009-04-18T06:24:53,2009-04-18T19:56:31,0.8,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"16221099999,16215099999,16181099999,16216099999,16224099999,16214099999"
"42.65212038128582, 12.244428530203464",2009-04-19,13.8,10.5,12,13.8,10.5,12,9.9,87.26,13.79,,8.33,,,,,12.8,160.5,1013.9,91.8,10.1,,,,,2009-04-19T06:23:19,2009-04-19T19:57:39,0.84,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"16221099999,16215099999,16181099999,16216099999,16224099999,16214099999"
