name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"40.911157947085776, 14.867446652797806",2015-03-15,9.1,4.9,7.5,7.5,3.2,5.7,4.3,80.2,1.21,100,12.5,rain,,,,12.9,62.7,,34.8,6.9,78.6,6.7,4,,2015-03-15T06:12:58,2015-03-15T18:06:46,0.85,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"16253099999,16289034113,16263099999,LIRN,LIRT,16252099999,16294099999"
"40.911157947085776, 14.867446652797806",2015-03-16,11.5,5.3,9.8,11.5,1,8.8,6.6,80.9,0.34,100,8.33,rain,,,,24.2,107,,66.9,7,164.5,14.2,6,,2015-03-16T06:11:19,2015-03-16T18:07:51,0.9,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"16253099999,16289034113,16263099999,LIRN,LIRM,LIRT,16252099999,16294099999"
"40.911157947085776, 14.867446652797806",2015-03-17,10.4,7.4,9.4,10.4,5.3,8.1,7.3,86.7,6.08,100,16.67,rain,,,33.5,15.4,87.1,1021.3,51.1,5,47.2,4,2,,2015-03-17T06:09:39,2015-03-17T18:08:57,0.94,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"16253099999,16289034113,16263099999,LIRN,LIRT,16252099999,16294099999"
"40.911157947085776, 14.867446652797806",2015-03-18,13.4,5.5,9.8,13.4,2.1,8.8,5.5,75.2,2.49,100,12.5,rain,,,,17.6,107.1,,38.5,7.3,226.8,19.4,8,,2015-03-18T06:08:00,2015-03-18T18:10:02,0.98,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"16253099999,16289034113,16263099999,LIRN,LIRM,LIRT,16252099999,16294099999"
"40.911157947085776, 14.867446652797806",2015-03-19,13.6,5.4,9.6,13.6,3.3,8.8,5.1,74.3,0.05,100,4.17,rain,,,,15.7,275.7,,55.8,9.3,224.9,19.6,8,,2015-03-19T06:06:20,2015-03-19T18:11:06,1,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"16253099999,16289034113,16263099999,LIRN,LIRT,16252099999,16294099999"
"40.911157947085776, 14.867446652797806",2015-03-20,12.4,6.1,9.1,12.4,3.2,7.7,-0.6,51.8,0.18,100,4.17,rain,,,,16.7,73,,11.1,10,243.9,21.1,8,,2015-03-20T06:04:40,2015-03-20T18:12:11,0,Rain,Clear conditions throughout the day with late afternoon rain.,rain,"16253099999,16289034113,16263099999,LIRN,LIRM,LIRT,16252099999,16294099999"
"40.911157947085776, 14.867446652797806",2015-03-21,12.4,2.3,8.7,12.4,-3.1,7.6,-2.4,46.9,0.23,100,8.33,rain,,,,26.8,177.6,,14.9,10,172.5,14.9,7,,2015-03-21T06:03:01,2015-03-21T18:13:15,0.01,Rain,Clear conditions throughout the day with rain.,rain,"16253099999,16289034113,16263099999,LIRN,LIRM,LIRT,LIQC,16252099999,16294099999"
"40.911157947085776, 14.867446652797806",2015-03-22,9.2,7.1,8.3,7.8,5,6.6,4.9,79.3,7.26,100,12.5,rain,,,,13.9,82.5,,53.2,7,55.6,4.9,2,,2015-03-22T06:01:21,2015-03-22T18:14:20,0.03,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"16253099999,16289034113,16263099999,LIRN,16252099999,16294099999"
"40.911157947085776, 14.867446652797806",2015-03-23,13.4,6.2,9.9,13.4,3.1,8.9,6.1,77.8,7.8,100,16.67,rain,,,,15.9,75.5,,38.4,5.9,221.3,19.2,8,,2015-03-23T05:59:41,2015-03-23T18:15:24,0.07,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"16253099999,16289034113,16263099999,LIRN,LIRM,LIRT,16252099999,16294099999"
"40.911157947085776, 14.867446652797806",2015-03-24,14.7,8.2,11.7,14.7,7.7,11.5,7.3,75,0.05,100,4.17,rain,,,,21,101.7,,29.4,8.5,221.1,19,8,,2015-03-24T05:58:01,2015-03-24T18:16:28,0.11,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"16253099999,16289034113,16263099999,LIRN,16252099999,16294099999"
"40.911157947085776, 14.867446652797806",2015-03-25,13.9,9,11.6,13.9,5.5,11.2,8.6,82.1,10.18,100,12.5,rain,,,64.8,28.4,158,,70.6,7.8,205.1,17.7,8,,2015-03-25T05:56:20,2015-03-25T18:17:32,0.16,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"16253099999,16289034113,16263099999,LIRI,LIRN,LIRM,LIRT,16252099999,16292399999,16294099999"
