name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"45.701474947826085, 11.570922906521739",2006-03-15,7.6,-1,3.6,7.5,-3,3.2,-1.6,70.48,4.67,,4.17,,,,,5.8,,1018,36.8,8.9,,,,,2006-03-15T06:26:51,2006-03-15T18:19:15,0.5,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"16099099999,16022099999,16090099999,16098099999,16105099999"
"45.701474947826085, 11.570922906521739",2006-03-16,6.9,1.3,4.1,6.8,-1.2,2.4,-1.1,69.7,19.99,,8.33,,,,,11.2,,1017.7,67.6,5.5,,,,,2006-03-16T06:24:57,2006-03-16T18:20:36,0.52,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"16099099999,16022099999,16090099999,16098099999,16105099999"
"45.701474947826085, 11.570922906521739",2006-03-17,8.5,-0.7,4,8.5,-1.6,3.2,-1.7,67.93,4.67,,4.17,,,,,10.8,,1017.8,22.6,5.8,,,,,2006-03-17T06:23:03,2006-03-17T18:21:56,0.53,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"16099099999,16022099999,16090099999,16098099999,16105099999"
"45.701474947826085, 11.570922906521739",2006-03-18,8.4,0.8,4.7,8.2,-0.6,3.6,-2,63.62,0,,0,,,,,11.5,,1017.8,26.8,6.1,,,,,2006-03-18T06:21:08,2006-03-18T18:23:16,0.56,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"16099099999,16022099999,16090099999,16098099999,16105099999"
"45.701474947826085, 11.570922906521739",2006-03-19,9.5,-0.9,4.3,9.2,-0.9,3.3,-0.6,71.93,0,,0,,,,,9.4,,1016,36.3,9.8,,,,,2006-03-19T06:19:14,2006-03-19T18:24:35,0.6,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"16099099999,16022099999,16090099999,16098099999,16105099999"
"45.701474947826085, 11.570922906521739",2006-03-20,10.5,-0.4,5.1,10.5,-0.7,4.7,-0.3,70.77,0,,0,,,,,10.3,,1013.6,22.2,9.6,,,,,2006-03-20T06:17:19,2006-03-20T18:25:55,0.64,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"16099099999,16022099999,16090099999,16098099999,16105099999"
"45.701474947826085, 11.570922906521739",2006-03-21,7.2,3.6,5.8,6.3,1.8,5,4.1,89.05,9.96,,12.5,,,,,9.3,,1011.7,79.9,4.2,,,,,2006-03-21T06:15:24,2006-03-21T18:27:15,0.69,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"16099099999,16022099999,16090099999,16098099999,16105099999"
"45.701474947826085, 11.570922906521739",2006-03-22,11.5,4,8,11.5,2.6,7.9,5.5,84.74,8.4,,12.5,,,,,6,,1005.7,62.7,3.4,,,,,2006-03-22T06:13:29,2006-03-22T18:28:34,0.74,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"16099099999,16022099999,16090099999,16098099999,16105099999"
"45.701474947826085, 11.570922906521739",2006-03-23,12.3,6.6,9.2,12.3,5.6,8.9,6.2,82.16,9.12,,16.67,,,,,14,,1005.8,69.3,7.5,,,,,2006-03-23T06:11:34,2006-03-23T18:29:53,0.79,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"16099099999,16022099999,16090099999,16098099999,16105099999"
"45.701474947826085, 11.570922906521739",2006-03-24,8.9,6.3,7.6,8.7,3.9,6.3,3.4,75.45,0,,0,,,,,14,,1012.4,73.9,5.4,,,,,2006-03-24T06:09:39,2006-03-24T18:31:12,0.85,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"16099099999,16022099999,16090099999,16098099999,16105099999"
"45.701474947826085, 11.570922906521739",2006-03-25,11.6,5.7,8.7,11.6,5.7,8.7,4.1,74.01,0,,0,,,,,5.8,,1015.7,73.7,6.2,,,,,2006-03-25T06:07:44,2006-03-25T18:32:31,0.9,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"16099099999,16022099999,16090099999,16098099999,16105099999"
"45.701474947826085, 11.570922906521739",2006-03-26,13.5,7.4,10.2,13.5,6.3,10,6.6,78.99,0,,0,,,,,8.3,,1020.8,70.5,6.8,,,,,2006-03-26T07:05:49,2006-03-26T19:33:50,0.95,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"16099099999,16022099999,16090099999,16098099999,16105099999"
"45.701474947826085, 11.570922906521739",2006-03-27,12.9,9.5,10.7,12.9,9,10.6,7.7,82.27,0,,0,,,,,8.7,,1019,76.7,4.5,,,,,2006-03-27T07:03:54,2006-03-27T19:35:09,0.98,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"16099099999,16022099999,16090099999,16098099999,16105099999"
"45.701474947826085, 11.570922906521739",2006-03-28,11.1,8.3,9.7,11.1,7,9.2,8.4,91.97,0.4,,4.17,,,,,19.3,,1011.3,73.8,2.4,,,,,2006-03-28T07:01:59,2006-03-28T19:36:27,1,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"16099099999,16022099999,16090099999,16098099999,16105099999"
"45.701474947826085, 11.570922906521739",2006-03-29,15.2,6,10.3,15.2,3.9,9.2,3.6,65.89,22.79,,8.33,,,,,18.4,,1008.7,29.6,22.1,,,,,2006-03-29T07:00:04,2006-03-29T19:37:46,0,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"16099099999,16022099999,16090099999,16098099999,16105099999"
"45.701474947826085, 11.570922906521739",2006-03-30,13.8,5,9.2,13.8,3.7,8.7,3.8,70.58,7.33,,4.17,,,,,8.9,,1017.2,27.8,16.8,,,,,2006-03-30T06:58:10,2006-03-30T19:39:05,0.01,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"16099099999,16022099999,16090099999,16098099999,16105099999"
"45.701474947826085, 11.570922906521739",2006-03-31,14.5,6.5,10.4,14.5,5.7,10.2,6.5,78.19,40.97,,4.35,,,,,13.7,,1016.4,55.5,8.3,,,,,2006-03-31T06:56:16,2006-03-31T19:40:23,0.03,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"16099099999,16022099999,16090099999,16098099999,16105099999"
"45.701474947826085, 11.570922906521739",2006-04-01,15.1,10,12.2,15.1,10,12.2,8.4,79.06,7.33,,4.17,,,,,9.1,,1017.1,71.3,5.8,,,,,2006-04-01T06:54:22,2006-04-01T19:41:41,0.06,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"16099099999,16022099999,16090099999,16098099999,16105099999"
"45.701474947826085, 11.570922906521739",2006-04-02,15.7,6.7,10.8,15.7,6.6,10.6,7.5,81.6,0,,0,,,,,7.5,,1015.1,35.2,5.5,,,,,2006-04-02T06:52:28,2006-04-02T19:43:00,0.11,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"16099099999,16022099999,16090099999,16105099999,16098099999"
"45.701474947826085, 11.570922906521739",2006-04-03,14.6,5.7,9.5,14.6,4.2,9.1,6,80.39,11.53,,8.33,,,,,17.6,,1014.6,33.4,7.8,,,,,2006-04-03T06:50:34,2006-04-03T19:44:18,0.15,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"16099099999,16022099999,16090099999,16098099999,16105099999"
"45.701474947826085, 11.570922906521739",2006-04-04,13.9,2.4,8.3,13.9,-0.3,7.6,1.4,65.34,0,,0,,,,,14.1,,1016.1,15.3,22.8,,,,,2006-04-04T06:48:41,2006-04-04T19:45:36,0.2,Clear,Clear conditions throughout the day.,clear-day,"16099099999,16022099999,16090099999,16098099999,16105099999"
"45.701474947826085, 11.570922906521739",2006-04-05,10,6.6,8,7.5,4.2,5.7,3.9,75.64,33.32,,4.17,,,,,20.8,,1008.9,75.7,10.9,,,,,2006-04-05T06:46:49,2006-04-05T19:46:55,0.25,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"16099099999,16022099999,16090099999,16098099999,16105099999"
"45.701474947826085, 11.570922906521739",2006-04-06,9.4,2.9,6,8.1,-1.5,3.7,4.7,91.16,13.59,,16.67,,,,,32.9,,1007.7,75.1,7.8,,,,,2006-04-06T06:44:56,2006-04-06T19:48:13,0.3,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"16099099999,16022099999,16090099999,16098099999,16105099999"
"45.701474947826085, 11.570922906521739",2006-04-07,10.9,0,5.7,10.9,-0.6,5.3,-1.1,64.07,7.33,,8.33,,,,,7.4,,1015.6,22.9,12.9,,,,,2006-04-07T06:43:04,2006-04-07T19:49:31,0.34,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"16099099999,16022099999,16090099999,16105099999,16098099999"
"45.701474947826085, 11.570922906521739",2006-04-08,13.9,2.2,8.4,13.9,1.4,8.4,1.2,62.8,0,,0,,,,,9.1,,1016.3,0.6,12.8,,,,,2006-04-08T06:41:13,2006-04-08T19:50:49,0.39,Clear,Clear conditions throughout the day.,clear-day,"16099099999,16022099999,16090099999,16098099999,16105099999"
"45.701474947826085, 11.570922906521739",2006-04-09,13.6,5.4,9.3,13.6,4.6,9.1,5.9,79.78,7.33,,4.17,,,,,10.8,,1016.2,58.3,6.2,,,,,2006-04-09T06:39:22,2006-04-09T19:52:08,0.42,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"16099099999,16022099999,16090099999,16098099999,16105099999"
"45.701474947826085, 11.570922906521739",2006-04-10,12.2,8.8,10.4,12.2,6.8,9.9,8.7,89.37,4.63,,4.35,,,,,20.5,,1010.6,77.3,3.7,,,,,2006-04-10T06:37:31,2006-04-10T19:53:26,0.45,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"16099099999,16022099999,16090099999,16098099999,16105099999"
"45.701474947826085, 11.570922906521739",2006-04-11,10.2,5.1,8.3,10.2,1.7,6,5.6,83.01,10.07,,16.67,,,,,20.7,,1004.8,74.5,8.6,,,,,2006-04-11T06:35:41,2006-04-11T19:54:44,0.48,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"16099099999,16022099999,16090099999,16098099999,16105099999"
"45.701474947826085, 11.570922906521739",2006-04-12,12.3,3.4,8.1,12.3,2,7.6,2.1,67.84,0,,0,,,,,11.2,,1010,52.8,18.8,,,,,2006-04-12T06:33:52,2006-04-12T19:56:02,0.49,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"16099099999,16022099999,16090099999,16105099999,16098099999"
"45.701474947826085, 11.570922906521739",2006-04-13,14.9,3.4,9.5,14.9,3.4,9.3,2.9,66.82,0,,0,,,,,12.4,,1012.4,15,15.8,,,,,2006-04-13T06:32:03,2006-04-13T19:57:20,0.5,Clear,Clear conditions throughout the day.,clear-day,"16099099999,16022099999,16090099999,16098099999,16105099999"
"45.701474947826085, 11.570922906521739",2006-04-14,16.7,5.5,11.1,16.7,3.3,10.4,4.6,67.03,0,,0,,,,,10.5,,1014.9,3.4,11.7,,,,,2006-04-14T06:30:15,2006-04-14T19:58:39,0.51,Clear,Clear conditions throughout the day.,clear-day,"16099099999,16022099999,16090099999,16098099999,16105099999"
"45.701474947826085, 11.570922906521739",2006-04-15,15.8,7.8,11.9,15.8,7.6,11.6,7,73.39,7.33,,4.17,,,,,11.4,,1017.8,35.5,8.5,,,,,2006-04-15T06:28:28,2006-04-15T19:59:57,0.52,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"16099099999,16022099999,16090099999,16098099999,16105099999"
"45.701474947826085, 11.570922906521739",2006-04-16,15.9,10.3,12.9,15.9,10.3,12.9,9.8,82.49,7.4,,8.33,,,,,10.3,,1014.8,73.1,5.1,,,,,2006-04-16T06:26:41,2006-04-16T20:01:15,0.54,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"16099099999,16022099999,16090099999,16098099999,16105099999"
"45.701474947826085, 11.570922906521739",2006-04-17,17.7,10.2,13.6,17.7,10.2,13.6,10.2,80.99,7.41,,12.5,,,,,9.9,,1012.7,55.2,7.9,,,,,2006-04-17T06:24:55,2006-04-17T20:02:33,0.57,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"16099099999,16022099999,16090099999,16098099999,16105099999"
