name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"43.52777254421717, 11.425999159894277",2016-03-15,14.8,5.4,10.1,14.8,3.5,9.5,0.6,53.9,0,0,0,,,,,9.7,190.9,1017.8,9.4,10,218.3,18.9,8,,2016-03-15T06:25:55,2016-03-15T18:20:57,0.24,Clear,Clear conditions throughout the day.,clear-day,"16170099999,16171099999,16172099999,LIRQ"
"43.52777254421717, 11.425999159894277",2016-03-16,12.9,7.5,10,12.9,6.3,9,3,61.9,0,0,0,,,,51.8,26.8,63,1018.7,34.3,10,104.6,8.9,4,,2016-03-16T06:24:08,2016-03-16T18:22:10,0.29,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"16170099999,16171099999,16172099999,LIRQ"
"43.52777254421717, 11.425999159894277",2016-03-17,13.9,8.6,10.8,13.9,7.3,10,4.9,67.4,0,0,0,,,,48.2,24.9,76.1,1023.7,21.8,10,147.8,12.8,6,,2016-03-17T06:22:21,2016-03-17T18:23:23,0.34,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"16170099999,16171099999,16172099999,LIRQ"
"43.52777254421717, 11.425999159894277",2016-03-18,18.6,4.3,11.6,18.6,4.3,11.5,3.4,60.5,0,0,0,,,,31.7,9,152.8,1018.1,4.4,10,222.6,19.1,8,,2016-03-18T06:20:33,2016-03-18T18:24:36,0.39,Clear,Clear conditions throughout the day.,clear-day,"16170099999,16171099999,16172099999,LIRQ"
"43.52777254421717, 11.425999159894277",2016-03-19,17.4,3.5,10.1,17.4,3.5,10.1,5.6,76,0,0,0,,,,,12.1,152.2,1018.4,11,9.1,202.3,17.6,8,,2016-03-19T06:18:46,2016-03-19T18:25:49,0.43,Clear,Clear conditions throughout the day.,clear-day,"16170099999,16171099999,16172099999,LIRQ"
"43.52777254421717, 11.425999159894277",2016-03-20,17.3,5.8,11.2,17.3,5.8,11.2,8,81.8,0.31,100,4.17,rain,,,,9.4,181.5,1018.9,38.8,9.8,126.8,10.9,6,,2016-03-20T06:16:58,2016-03-20T18:27:01,0.46,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"16170099999,16171099999,16172099999,LIRQ"
"43.52777254421717, 11.425999159894277",2016-03-21,17.1,9.3,12.1,17.1,9.3,12.1,9.6,85.8,2.61,100,12.5,rain,,,,7.7,109.1,1013.5,44.1,8.9,155.3,13.4,6,,2016-03-21T06:15:10,2016-03-21T18:28:13,0.48,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"16170099999,16171099999,16172099999,LIRQ"
"43.52777254421717, 11.425999159894277",2016-03-22,17.6,9.1,13.5,17.6,8.8,13.4,8.1,71.1,0.07,100,4.17,rain,,,72.4,35.1,93.3,1003.9,12.7,10,191.9,16.6,7,,2016-03-22T06:13:22,2016-03-22T18:29:25,0.5,Rain,Clear conditions throughout the day with late afternoon rain.,rain,"16170099999,16171099999,16172099999,LIRQ"
"43.52777254421717, 11.425999159894277",2016-03-23,13,8.6,10.9,13,6.1,10.3,1.8,53.5,2.2,100,37.5,rain,,,63,31.7,56.3,998.5,55.2,10,99.7,8.5,4,,2016-03-23T06:11:34,2016-03-23T18:30:38,0.5,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"16170099999,16171099999,16172099999,LIRQ"
"43.52777254421717, 11.425999159894277",2016-03-24,15.9,6.9,11.6,15.9,6,11,-1.3,42,0,0,0,,,,42.5,18.9,83,1008.2,12.7,10,236.2,20.3,7,,2016-03-24T06:09:46,2016-03-24T18:31:49,0.51,Clear,Clear conditions throughout the day.,clear-day,"16170099999,16171099999,16172099999,LIRQ"
"43.52777254421717, 11.425999159894277",2016-03-25,16.3,1.8,9.6,16.3,1.8,9.6,0.3,56.6,0,0,0,,,,,11.1,196.9,1017.5,5.9,10,189.1,16.3,6,,2016-03-25T06:07:58,2016-03-25T18:33:01,0.52,Clear,Clear conditions throughout the day.,clear-day,"16170099999,16171099999,16172099999,LIRQ"
"43.52777254421717, 11.425999159894277",2016-03-26,18.6,3.2,11.2,18.6,3.2,11.1,4.3,65.5,0,0,0,,,,,9,144.7,1018.3,11,9.8,228.7,19.8,7,,2016-03-26T06:06:11,2016-03-26T18:34:13,0.54,Clear,Clear conditions throughout the day.,clear-day,"16170099999,16171099999,16172099999,LIRQ"
"43.52777254421717, 11.425999159894277",2016-03-27,17.2,5.1,10.9,17.2,4.9,10.8,6.6,76.4,0,0,0,,,,,16.5,218.9,1018.3,25.9,9.6,224.8,18.5,8,,2016-03-27T07:04:23,2016-03-27T19:35:25,0.57,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"16170099999,16171099999,16172099999,LIRQ"
