name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"45.42402070034508, 11.290826526013875",2018-03-15,11.1,5.5,8.2,11.1,4.4,7.2,6.2,87.4,1.08,100,8.33,rain,,,50,26.7,84.2,1007.2,65.3,5.2,5,0.4,0,,2018-03-15T06:27:44,2018-03-15T18:20:32,0.98,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"16099099999,16090099999,LIPX,E4563,16088099999,16098099999,D5194,16023099999"
"45.42402070034508, 11.290826526013875",2018-03-16,15.2,7,10.2,15.2,4.5,9.1,6.3,77.9,4.02,100,8.33,rain,,,,20.3,205.2,1002.7,59.2,9.4,153.9,13.2,7,,2018-03-16T06:25:51,2018-03-16T18:21:52,1,"Rain, Partially cloudy",Clearing in the afternoon with rain clearing later.,rain,"16099099999,16090099999,LIPX,E4563,C7731,16088099999,16098099999,D5194,16023099999"
"45.42402070034508, 11.290826526013875",2018-03-17,10.2,8,9.3,10.2,5.3,7.9,7.1,86.3,1.24,100,8.33,rain,,,,15.8,71.5,997.1,69.4,8.5,6.4,0.6,0,,2018-03-17T06:23:57,2018-03-17T18:23:11,1,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"16099099999,16090099999,LIPX,E4563,16088099999,16098099999,D5194,16023099999"
"45.42402070034508, 11.290826526013875",2018-03-18,10.1,6.2,7.8,10.1,3.2,5.2,4.3,78.7,0.74,100,12.5,rain,,0,,25.7,59.3,996.8,74.6,10.4,14.8,1.2,0,,2018-03-18T06:22:04,2018-03-18T18:24:30,0.01,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"16099099999,16090099999,LIPX,C7731,16088099999,16098099999,D5194,16023099999"
"45.42402070034508, 11.290826526013875",2018-03-19,5.8,3.7,4.6,4.2,-0.1,1.7,2,83.1,6.3,100,12.5,rain,,,,23.1,113,1001.1,69.8,8.9,40.2,3.4,1,,2018-03-19T06:20:10,2018-03-19T18:25:49,0.02,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"16099099999,16090099999,LIPX,C7731,16088099999,16098099999,D5194,16023099999"
"45.42402070034508, 11.290826526013875",2018-03-20,9.2,3,5.7,7.5,1.9,4.2,1.3,75.3,0,0,0,,,,,20.6,132.8,1006.9,63.5,7.7,21,1.7,1,,2018-03-20T06:18:16,2018-03-20T18:27:07,0.05,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"16099099999,16090099999,LIPX,E4563,16088099999,16098099999,D5194,16023099999"
"45.42402070034508, 11.290826526013875",2018-03-21,10.1,3.2,6.1,10.1,0.5,3.9,-4.8,46.4,0,0,0,,,,,20.1,82.3,1017.2,32.1,10.6,15.4,1.5,1,,2018-03-21T06:16:22,2018-03-21T18:28:26,0.09,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"16099099999,16090099999,LIPX,E4563,16088099999,16098099999,D5194,16023099999"
"45.42402070034508, 11.290826526013875",2018-03-22,10.3,0,5.2,10.3,-1.9,3.6,-4.9,49.5,0,0,0,,,,,12.7,172.3,1015.3,6.4,10.8,51.5,4.4,6,,2018-03-22T06:14:28,2018-03-22T18:29:44,0.13,Clear,Clear conditions throughout the day.,clear-day,"D9151,16099099999,16090099999,LIPX,E4563,16088099999,16098099999,D5194,16023099999"
"45.42402070034508, 11.290826526013875",2018-03-23,11.3,0.8,6.3,11.3,-1.8,5.4,-1.7,58.3,0,0,0,,,,,10.3,133.3,1004.6,15.1,10.2,26.6,2.3,4,,2018-03-23T06:12:34,2018-03-23T18:31:03,0.19,Clear,Clear conditions throughout the day.,clear-day,"16099099999,16090099999,LIPX,E4563,16088099999,16098099999,D5194,16023099999"
"45.42402070034508, 11.290826526013875",2018-03-24,12,1.3,7.2,12,-1.5,6.1,-0.7,59.2,0,0,0,,,,,11.5,124.8,1004.8,33.6,9.8,85.2,7.3,6,,2018-03-24T06:10:40,2018-03-24T18:32:21,0.24,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"16099099999,16090099999,LIPX,E4563,16088099999,16098099999,D5194,16023099999"
