name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"43.20347624443964, 10.586409110316495",2014-03-15,16.6,4.8,10.5,16.6,2.2,10,6.7,78.4,0,0,0,,,,,16,144.8,1019.9,27.8,16,211.7,18.2,7,,2014-03-15T06:30:07,2014-03-15T18:23:45,0.49,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"LIRX,16158099999,16206099999,LIRS,16197099999"
"43.20347624443964, 10.586409110316495",2014-03-16,16.7,5.7,11,16.7,3.9,10.5,7.1,78.2,0,0,0,,,,,19.2,170,1016.7,41,10.7,210.9,18,7,,2014-03-16T06:28:21,2014-03-16T18:24:58,0.5,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"LIRX,16158099999,16206099999,LIRS,16197099999"
"43.20347624443964, 10.586409110316495",2014-03-17,17.9,5.4,12,17.9,5.4,12,9.1,83.5,0,0,0,,,,,13.4,181.5,1020.6,24.1,7.5,222.2,19.3,7,,2014-03-17T06:26:35,2014-03-17T18:26:10,0.51,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"LIRX,16158099999,16206099999,LIRS,16197099999"
"43.20347624443964, 10.586409110316495",2014-03-18,15.8,9.1,12.3,15.8,8.2,12.3,9.9,85.4,0,0,0,,,,,13.5,135,1021.5,63.4,6.1,224.3,19.5,7,,2014-03-18T06:24:49,2014-03-18T18:27:21,0.52,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"LIRX,16158099999,16206099999,LIRS,16197099999"
"43.20347624443964, 10.586409110316495",2014-03-19,15.7,9.1,12.3,15.7,9.1,12.3,9.6,83.5,0,0,0,,,,,12.9,149,1021.2,58.3,8.1,183.1,15.7,6,,2014-03-19T06:23:02,2014-03-19T18:28:33,0.54,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"LIRX,16158099999,16206099999,LIRS,16197099999"
"43.20347624443964, 10.586409110316495",2014-03-20,16.9,6.4,11.3,16.9,5.3,11.1,8.8,85,0,0,0,,,,,9.9,157.2,1023.4,33,5.1,203.5,17.7,7,,2014-03-20T06:21:16,2014-03-20T18:29:44,0.57,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"LIRX,16158099999,16206099999,LIRS,16197099999"
"43.20347624443964, 10.586409110316495",2014-03-21,16.2,7.8,11.6,16.2,7,11.5,9.3,86.1,0,0,0,,,,,12.7,169.5,1021.5,52.9,5.9,149.8,12.9,5,,2014-03-21T06:19:29,2014-03-21T18:30:56,0.62,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"LIRX,16158099999,16206099999,LIRS,16197099999"
"43.20347624443964, 10.586409110316495",2014-03-22,14.8,11.1,13,14.8,11.1,13,10.8,86.7,3.04,100,12.5,rain,,,,16.6,158.9,1016.4,77.4,6.5,173.4,15,6,,2014-03-22T06:17:42,2014-03-22T18:32:07,0.67,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"LIRX,16158099999,16206099999,LIRS,16197099999"
"43.20347624443964, 10.586409110316495",2014-03-23,14.5,9.5,12.4,14.5,6.1,12.1,7.4,72.8,7.76,100,12.5,rain,,,,31,228,1005.7,64.9,10.9,231.7,20.1,8,,2014-03-23T06:15:55,2014-03-23T18:33:18,0.72,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"LIRX,16158099999,16206099999,LIRS,16197099999"
"43.20347624443964, 10.586409110316495",2014-03-24,12.1,5.1,9,12.1,2.7,8.1,3.8,71.3,2.13,100,12.5,rain,,,,25.1,252.1,1007,55.5,12.8,242.2,20.9,8,,2014-03-24T06:14:08,2014-03-24T18:34:29,0.78,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"LIRX,16158099999,16206099999,LIRS,16197099999"
"43.20347624443964, 10.586409110316495",2014-03-25,11.3,3.8,7.2,11.3,1.7,5.4,4.9,85.6,0.42,100,8.33,rain,,,,26.8,109.9,1008.6,60.6,13.7,65.7,5.8,2,,2014-03-25T06:12:21,2014-03-25T18:35:40,0.84,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"LIRX,16158099999,16206099999,LIRS,16197099999"
"43.20347624443964, 10.586409110316495",2014-03-26,11.7,6.4,9.1,11.7,3.2,8.2,5.8,80.5,3.1,100,8.33,rain,,,,21.1,90.8,1006.7,80.1,11.9,166.4,14.3,6,,2014-03-26T06:10:34,2014-03-26T18:36:51,0.89,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"LIRX,16158099999,16206099999,LIRS,16197099999"
"43.20347624443964, 10.586409110316495",2014-03-27,11.9,9.3,10.7,11.9,6.5,10.2,5.3,69.4,0.17,100,4.17,rain,,,,33.1,92.6,1003.6,71.2,13,83.6,7.1,3,,2014-03-27T06:08:48,2014-03-27T18:38:01,0.93,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"LIRX,16158099999,16206099999,LIRS,16197099999"
"43.20347624443964, 10.586409110316495",2014-03-28,16.5,8.1,11.8,16.5,6.1,11.3,5.9,68.7,0,0,0,,,,,18.9,227.1,1013.4,33.8,15.6,241.6,20.8,8,,2014-03-28T06:07:01,2014-03-28T18:39:12,0.97,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"LIRX,16158099999,16206099999,LIRS,16197099999"
