name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"43.445987110714285, 11.27937853016592",2014-03-15,17.8,4.1,10.9,17.8,4.1,10.8,5.6,72.5,0,0,0,,,,,19.3,143.8,1019.9,16.5,14.4,210.8,18.2,7,,2014-03-15T06:27:24,2014-03-15T18:20:56,0.49,Clear,Clear conditions throughout the day.,clear-day,"16170099999,16158099999,16172099999,16206099999,LIRQ"
"43.445987110714285, 11.27937853016592",2014-03-16,19.5,5.2,12.1,19.5,5.2,12,6.8,73.1,0,0,0,,,,,15.1,154.2,1016.7,18.1,9,208.6,18.1,7,,2014-03-16T06:25:38,2014-03-16T18:22:09,0.5,Clear,Clear conditions throughout the day.,clear-day,"16170099999,16158099999,16172099999,16206099999,LIRQ"
"43.445987110714285, 11.27937853016592",2014-03-17,19.6,7.9,12.9,19.6,7.9,12.9,9,79.3,0,0,0,,,,,10.8,168.6,1020.6,32.3,5.7,224.6,19.4,8,,2014-03-17T06:23:51,2014-03-17T18:23:22,0.51,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"16170099999,16158099999,16172099999,16206099999,LIRQ"
"43.445987110714285, 11.27937853016592",2014-03-18,19,8.5,13.3,19,7.6,13.1,9,77.4,0,0,0,,,,,16.2,166,1021.5,44.9,8.6,219.7,19.1,8,,2014-03-18T06:22:04,2014-03-18T18:24:35,0.52,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"16170099999,16158099999,16172099999,16206099999,LIRQ"
"43.445987110714285, 11.27937853016592",2014-03-19,18.1,9.8,13.6,18.1,9.8,13.6,9.8,79.2,0,0,0,,,,,10.1,169.9,1021.2,47,10.4,203.5,17.5,7,,2014-03-19T06:20:16,2014-03-19T18:25:47,0.54,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"16170099999,16158099999,16172099999,16206099999,LIRQ"
"43.445987110714285, 11.27937853016592",2014-03-20,22.6,5.4,13.7,22.6,5.4,13.7,7.8,72.4,0,0,0,,,,,10.7,145.9,1023.4,9.1,6.9,217.5,18.7,7,,2014-03-20T06:18:29,2014-03-20T18:26:59,0.57,Clear,Clear conditions throughout the day.,clear-day,"16170099999,16158099999,16172099999,16206099999,LIRQ"
"43.445987110714285, 11.27937853016592",2014-03-21,20.2,7.6,13.9,20.2,7.6,13.9,9.3,76.5,0,0,0,,,,,15.4,173.8,1021.5,33.6,8,196.6,17,7,,2014-03-21T06:16:41,2014-03-21T18:28:11,0.62,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"16170099999,16158099999,16172099999,16206099999,LIRQ"
"43.445987110714285, 11.27937853016592",2014-03-22,16.8,11.8,14,16.8,11.8,14,10.7,80.9,4.17,100,16.67,rain,,,,18.4,173.2,1016.4,81.5,7.9,185.3,16.2,6,,2014-03-22T06:14:54,2014-03-22T18:29:23,0.67,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"16170099999,16158099999,16172099999,16206099999,LIRQ"
"43.445987110714285, 11.27937853016592",2014-03-23,14.4,8.2,12,14.4,5.4,11.5,8.2,78,8.76,100,16.67,rain,,,55.4,32,180.3,1005.7,74.2,9.4,164.5,14.3,6,,2014-03-23T06:13:06,2014-03-23T18:30:35,0.72,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"16170099999,16158099999,16172099999,16206099999,LIRQ"
"43.445987110714285, 11.27937853016592",2014-03-24,11.8,6.2,8.4,11.8,4,7.4,3.8,74.1,3.28,100,12.5,rain,,,,15.4,186.5,1007,66.6,11,154.7,13.4,6,,2014-03-24T06:11:18,2014-03-24T18:31:47,0.78,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"16170099999,16158099999,16172099999,16206099999,LIRQ"
