name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"45.401528909139735, 11.229835868539752",2013-03-15,8.4,2.9,5.4,6.9,-0.8,2.6,-8.2,39.6,0,0,0,,,,,21.2,230.3,1004.4,25.3,13,171.9,14.7,7,,2013-03-15T06:27:34,2013-03-15T18:21:05,0.07,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"16099099999,16090099999,16088099999,16098099999"
"45.401528909139735, 11.229835868539752",2013-03-16,8,0,4.1,7,-3.3,1.6,-2.1,65.8,0.15,100,8.33,"rain,snow",,,,18.3,88.8,1018.5,35,11.1,189.5,16.3,6,,2013-03-16T06:25:41,2013-03-16T18:22:24,0.11,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with rain or snow clearing later.,rain,"16099099999,16090099999,16088099999,16098099999"
"45.401528909139735, 11.229835868539752",2013-03-17,7.9,2.2,4.9,4.7,-0.1,1.8,0.1,72.3,1.55,100,4.17,rain,,,,25.6,45.2,1016,73.3,9.3,105.7,9.2,5,,2013-03-17T06:23:47,2013-03-17T18:23:43,0.14,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"16099099999,16090099999,16088099999,16098099999"
"45.401528909139735, 11.229835868539752",2013-03-18,7.2,4.3,5.2,3.3,0.3,1.5,3.9,91.4,30.66,100,16.67,rain,,,,26.8,164.9,997.9,87.7,6.2,57.6,5,2,,2013-03-18T06:21:54,2013-03-18T18:25:02,0.19,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"16099099999,16090099999,16088099999,16098099999"
"45.401528909139735, 11.229835868539752",2013-03-19,13.9,1.1,7.5,13.9,-1.7,6.1,0.8,66.3,0,0,0,,,,,21.8,228.2,1000,11.5,8.7,227.9,19.7,8,,2013-03-19T06:20:00,2013-03-19T18:26:21,0.24,Clear,Clear conditions throughout the day.,clear-day,"16099099999,16090099999,16088099999,16098099999"
"45.401528909139735, 11.229835868539752",2013-03-20,11.8,2.3,7,11.8,1.9,6.3,3.7,80.7,2.01,100,8.33,rain,,,,14.9,152.9,1007.3,53.3,8,52.2,4.6,2,,2013-03-20T06:18:06,2013-03-20T18:27:39,0.28,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"16099099999,16090099999,16088099999,16098099999"
"45.401528909139735, 11.229835868539752",2013-03-21,15.3,3.5,9.5,15.3,1.3,8.8,0.6,60.3,4.5,100,8.33,rain,,,,18,253.8,1009.9,22.4,10.4,234.2,20.2,8,,2013-03-21T06:16:12,2013-03-21T18:28:58,0.33,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"16099099999,16090099999,16088099999,16098099999"
"45.401528909139735, 11.229835868539752",2013-03-22,14.8,3.5,9.1,14.8,0.4,8.1,-0.1,54.8,0,0,0,,,,,14.6,170.7,1012,11.7,13.2,225.5,19.5,7,,2013-03-22T06:14:18,2013-03-22T18:30:16,0.38,Clear,Clear conditions throughout the day.,clear-day,"16099099999,16090099999,16088099999,16098099999"
"45.401528909139735, 11.229835868539752",2013-03-23,13.1,5.9,9.1,13.1,3.6,8.3,4.5,74.7,0.58,100,4.17,rain,,,,16.8,99.5,1012.5,59.7,10.4,113.8,10,4,,2013-03-23T06:12:24,2013-03-23T18:31:34,0.42,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"16099099999,16090099999,16088099999,16098099999"
"45.401528909139735, 11.229835868539752",2013-03-24,7.9,5.7,6.7,4.9,1,2.9,5,89,14.31,100,16.67,rain,,,,32.3,69.7,1009.9,92.5,7.1,49.2,4.3,2,,2013-03-24T06:10:30,2013-03-24T18:32:52,0.45,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"16099099999,16090099999,16088099999,16098099999"
"45.401528909139735, 11.229835868539752",2013-03-25,5.7,4,4.9,4.7,1.8,2.8,3.9,92.9,18.74,100,16.67,rain,,,,16.8,155.6,1003.4,92.9,4.7,87.6,7.6,3,,2013-03-25T06:08:36,2013-03-25T18:34:10,0.48,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"16099099999,16090099999,16088099999,16098099999"
