name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"41.64016201526508, 12.736918336972524",2014-03-15,17.9,7.5,12.3,17.9,7.5,12.2,8.8,80.2,0,0,0,,,,,16.8,161.7,1018.3,11.8,9.1,203.4,17.7,7,,2014-03-15T06:21:13,2014-03-15T18:15:26,0.49,Clear,Clear conditions throughout the day.,clear-day,"16243099999,16245099999,16242099999,16239099999,16224099999"
"41.64016201526508, 12.736918336972524",2014-03-16,18.8,5.4,11.8,18.8,5.4,11.7,9.1,84.6,0,0,0,,,,,14.5,143.7,1014.8,7.8,7.5,215.8,18.6,7,,2014-03-16T06:19:31,2014-03-16T18:16:33,0.5,Clear,Clear conditions throughout the day.,clear-day,"16243099999,16245099999,16242099999,16239099999,16224099999"
"41.64016201526508, 12.736918336972524",2014-03-17,19.1,6.1,12.5,19.1,6.1,12.4,10.2,86.5,0,0,0,,,,,11.7,149.7,1019.5,12.6,5.5,226.9,19.6,8,,2014-03-17T06:17:50,2014-03-17T18:17:40,0.51,Clear,Clear conditions throughout the day.,clear-day,"16243099999,16245099999,16242099999,16239099999,16224099999,16234099999"
"41.64016201526508, 12.736918336972524",2014-03-18,18.1,6,12.1,18.1,6,12.1,9.8,86.6,0,0,0,,,,,14.4,148.6,1021.3,18.7,7.1,232.7,20.1,8,,2014-03-18T06:16:08,2014-03-18T18:18:47,0.52,Clear,Clear conditions throughout the day.,clear-day,"16243099999,16245099999,16242099999,16239099999,16224099999,16234099999"
"41.64016201526508, 12.736918336972524",2014-03-19,18,9.4,13.1,18,9.1,13.1,10.5,84.8,0,0,0,,,,,11.8,167.7,1020.7,47.6,8.5,226.8,19.6,8,,2014-03-19T06:14:27,2014-03-19T18:19:54,0.54,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"16243099999,16245099999,16242099999,16239099999,16224099999,16234099999"
"41.64016201526508, 12.736918336972524",2014-03-20,20.2,7.7,13.3,20.2,6.8,13.3,9.9,80.9,0,0,0,,,,,13.2,175.3,1022.2,7.5,6.8,203.2,17.5,7,,2014-03-20T06:12:45,2014-03-20T18:21:01,0.57,Clear,Clear conditions throughout the day.,clear-day,"16243099999,16245099999,16242099999,16239099999,16224099999,16234099999"
"41.64016201526508, 12.736918336972524",2014-03-21,19.1,7.9,13.6,19.1,7.9,13.5,10.6,83.1,0,0,0,,,,,15.8,185.3,1020.4,19,7.7,197.2,17.2,7,,2014-03-21T06:11:03,2014-03-21T18:22:08,0.62,Clear,Clear conditions throughout the day.,clear-day,"16243099999,16245099999,16242099999,16239099999,16224099999,16234099999"
"41.64016201526508, 12.736918336972524",2014-03-22,17.1,10.3,13.8,17.1,10.3,13.8,11.7,87.3,0.39,100,4.17,rain,,,,23.3,143.4,1016.2,61.7,9,205.9,17.7,7,,2014-03-22T06:09:20,2014-03-22T18:23:14,0.67,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"16243099999,16245099999,16242099999,16239099999,16224099999"
"41.64016201526508, 12.736918336972524",2014-03-23,15.4,10,13.2,15.4,7.7,13.1,10.4,83.8,2.85,100,8.33,rain,,,,30.2,193.8,1006.4,74.6,8.7,188.4,16.2,7,,2014-03-23T06:07:38,2014-03-23T18:24:20,0.72,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"16243099999,16245099999,16242099999,16239099999,16224099999"
"41.64016201526508, 12.736918336972524",2014-03-24,11.7,5.1,9.6,11.7,5.1,8.9,5.3,75.2,3.22,100,12.5,rain,,,,22.1,239.1,1005.4,51.3,10.1,140.4,12,4,,2014-03-24T06:05:56,2014-03-24T18:25:27,0.78,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"16243099999,16245099999,16242099999,16239099999,16224099999,16234099999"
