name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"43.4904233888889, 11.378226782270216",2016-03-15,14.8,5.4,10.1,14.8,3.6,9.6,0.6,53.8,0,0,0,,,,,9.9,191.4,1017.8,9.2,10,219.7,19,7,,2016-03-15T06:26:06,2016-03-15T18:21:09,0.24,Clear,Clear conditions throughout the day.,clear-day,"16170099999,16171099999,16172099999,LIRQ"
"43.4904233888889, 11.378226782270216",2016-03-16,12.9,7.5,10.1,12.9,6.4,9,3,61.7,0,0,0,,,,51.8,27,63,1018.7,34,10,112.3,9.7,4,,2016-03-16T06:24:19,2016-03-16T18:22:22,0.29,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"16170099999,16171099999,16172099999,LIRQ"
"43.4904233888889, 11.378226782270216",2016-03-17,13.9,8.6,10.8,13.9,7.3,10.1,4.9,67.2,0,0,0,,,,48.2,25.1,76.1,1023.7,21.5,10,154.7,13.6,5,,2016-03-17T06:22:32,2016-03-17T18:23:35,0.34,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"16170099999,16171099999,16172099999,LIRQ"
"43.4904233888889, 11.378226782270216",2016-03-18,18.6,4.3,11.6,18.6,4.3,11.5,3.4,60.5,0,0,0,,,,31.7,9.1,152.6,1018.1,4.3,10,217.2,18.8,7,,2016-03-18T06:20:45,2016-03-18T18:24:48,0.39,Clear,Clear conditions throughout the day.,clear-day,"16170099999,16171099999,16172099999,LIRQ"
"43.4904233888889, 11.378226782270216",2016-03-19,17.4,3.6,10.2,17.4,3.6,10.1,5.7,76.1,0,0,0,,,,,12.2,143.2,1018.4,11,9.1,225.7,19.6,8,,2016-03-19T06:18:57,2016-03-19T18:26:00,0.43,Clear,Clear conditions throughout the day.,clear-day,"16170099999,16171099999,16172099999,LIRQ"
"43.4904233888889, 11.378226782270216",2016-03-20,17.3,5.9,11.3,17.3,5.9,11.3,8,81.9,0.31,100,4.17,rain,,,,9.5,181.6,1018.9,39,9.8,115.3,10,5,,2016-03-20T06:17:09,2016-03-20T18:27:12,0.46,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"16170099999,16171099999,16172099999,LIRQ"
"43.4904233888889, 11.378226782270216",2016-03-21,17.1,9.4,12.1,17.1,9.4,12.1,9.6,85.9,2.66,100,12.5,rain,,,,7.7,106.2,1013.5,44.3,8.8,165.4,14.4,7,,2016-03-21T06:15:22,2016-03-21T18:28:24,0.48,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"16170099999,16171099999,16172099999,LIRQ"
"43.4904233888889, 11.378226782270216",2016-03-22,17.6,9.1,13.5,17.6,8.8,13.5,8.1,71,0.07,100,4.17,rain,,,72.4,35.4,93.3,1003.9,12.4,10,172.9,15,7,,2016-03-22T06:13:34,2016-03-22T18:29:36,0.5,Rain,Clear conditions throughout the day with late afternoon rain.,rain,"16170099999,16171099999,16172099999,LIRQ"
"43.4904233888889, 11.378226782270216",2016-03-23,13,8.6,10.9,13,6.1,10.4,1.8,53.4,6.6,100,41.67,rain,,,63,31.7,55.5,998.5,55.8,10,88.7,7.6,4,,2016-03-23T06:11:46,2016-03-23T18:30:48,0.5,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"16170099999,16171099999,16172099999,LIRQ"
"43.4904233888889, 11.378226782270216",2016-03-24,16,7,11.6,16,6,11.1,-1.3,41.9,0,0,0,,,,42.5,18.8,82.9,1008.2,12.3,10,238.8,20.7,8,,2016-03-24T06:09:58,2016-03-24T18:32:00,0.51,Clear,Clear conditions throughout the day.,clear-day,"16170099999,16171099999,16172099999,LIRQ"
"43.4904233888889, 11.378226782270216",2016-03-25,16.4,1.8,9.6,16.4,1.8,9.6,0.4,56.5,0,0,0,,,,,11.2,193.7,1017.5,5.9,10,210.3,18.2,7,,2016-03-25T06:08:11,2016-03-25T18:33:12,0.52,Clear,Clear conditions throughout the day.,clear-day,"16170099999,16171099999,16172099999,LIRQ"
"43.4904233888889, 11.378226782270216",2016-03-26,18.6,3.2,11.2,18.6,3.2,11.1,4.4,65.4,0,0,0,,,,,9.1,143.4,1018.3,10.8,9.8,230.8,19.9,8,,2016-03-26T06:06:23,2016-03-26T18:34:23,0.54,Clear,Clear conditions throughout the day.,clear-day,"16170099999,16171099999,16172099999,LIRQ"
