name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"45.80771453027569, 13.371388853013608",2015-03-15,14.9,4.9,10.1,14.9,3.7,9.7,-1.2,46.6,0,0,0,,,100,37.2,23.5,74.8,1025.7,44.8,10.4,181.7,15.8,7,,2015-03-15T06:20:02,2015-03-15T18:11:47,0.85,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"16108099999,14106099999,14006099999,14112099999,16110099999,LIPQ"
"45.80771453027569, 13.371388853013608",2015-03-16,11.8,8.9,10.1,11.8,6,9.1,2.8,62.1,5.35,100,8.33,rain,,100,31.2,20.1,47.8,1028.8,74.9,8.2,46.1,4,2,,2015-03-16T06:18:08,2015-03-16T18:13:08,0.9,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"16108099999,14106099999,14006099999,14112099999,16110099999,LIPQ"
"45.80771453027569, 13.371388853013608",2015-03-17,15.8,9.1,12.4,15.8,7.3,12.3,3.3,54.2,2.17,100,8.33,rain,,120,37.6,28.6,70.9,1027,70.2,10.2,122.3,10.6,4,,2015-03-17T06:16:13,2015-03-17T18:14:29,0.94,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"16108099999,14106099999,14006099999,14112099999,16110099999,LIPQ"
"45.80771453027569, 13.371388853013608",2015-03-18,17.9,3.1,10.6,17.9,3.1,10.4,1.1,54.1,0,0,0,,,110,31.9,14.4,113.8,1024.2,0.2,10.8,210.1,18,7,,2015-03-18T06:14:18,2015-03-18T18:15:49,0.98,Clear,Clear conditions throughout the day.,clear-day,"16108099999,14106099999,14006099999,14112099999,16110099999,LIPQ"
"45.80771453027569, 13.371388853013608",2015-03-19,17.8,3,10.1,17.8,1.7,9.8,1,56,0,0,0,,,100,24.4,14.4,123.5,1022.9,6.8,11.1,209.8,18,7,,2015-03-19T06:12:23,2015-03-19T18:17:09,1,Clear,Clear conditions throughout the day.,clear-day,"16108099999,14106099999,14006099999,14112099999,16110099999,LIPQ"
"45.80771453027569, 13.371388853013608",2015-03-20,14.9,5,9.8,14.9,4.8,9.5,2,59.3,0,0,0,,,100,24.4,14.1,151.1,1024.1,31.2,10.5,200.2,17.4,7,,2015-03-20T06:10:28,2015-03-20T18:18:29,0,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"16108099999,14106099999,14006099999,14112099999,16110099999,LIPQ"
"45.80771453027569, 13.371388853013608",2015-03-21,13.9,3.9,8.8,13.9,1.8,8.4,2.5,65.5,0,0,0,,,100,28.8,17.6,163.4,1020,68.7,10.5,201.3,17.4,7,,2015-03-21T06:08:33,2015-03-21T18:19:49,0.01,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"16108099999,14106099999,14006099999,14112099999,16110099999,LIPQ"
"45.80771453027569, 13.371388853013608",2015-03-22,14,7.9,10.3,14,6.1,9.7,5.5,73,6.89,100,8.33,rain,,100,18,16.1,118,1016.6,53.9,9,145.1,12.4,6,,2015-03-22T06:06:37,2015-03-22T18:21:09,0.03,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"16108099999,14106099999,14006099999,14112099999,16110099999,LIPQ"
"45.80771453027569, 13.371388853013608",2015-03-23,18.8,5.2,11.8,18.8,3.9,11.7,1.8,52.5,0.05,100,4.17,rain,,100,35.6,16.9,109.3,1015.9,6.4,10.2,213,18.5,7,,2015-03-23T06:04:42,2015-03-23T18:22:28,0.07,Rain,Clear conditions throughout the day with morning rain.,rain,"16108099999,14106099999,14006099999,14112099999,16110099999,LIPQ"
"45.80771453027569, 13.371388853013608",2015-03-24,16.9,5.8,11.4,16.9,4.5,11,3.3,58.2,0,0,0,,,95,28.8,14.5,140.5,1013.6,20.8,10.6,192.6,16.6,7,,2015-03-24T06:02:47,2015-03-24T18:23:48,0.11,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"16108099999,14106099999,14006099999,14112099999,16110099999,LIPQ"
