name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"45.59462093968799, 9.99093794156159",2004-03-15,15.8,4.3,9.8,15.8,4.3,9.8,6.2,80.19,0,,0,,,,,7.7,225.5,1034.5,27.1,2.9,,,,,2004-03-15T06:32:14,2004-03-15T18:26:15,0.85,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"16080099999,16076099999,16090099999,16088099999"
"45.59462093968799, 9.99093794156159",2004-03-16,19.5,4.6,11.3,19.5,3.8,11.2,5.8,72.36,4.94,,4.17,,,,,7.1,202.5,1034.4,2.3,4.4,,,,,2004-03-16T06:30:21,2004-03-16T18:27:35,0.9,Rain,Clear conditions throughout the day with morning rain.,rain,"16080099999,16076099999,16090099999,16088099999"
"45.59462093968799, 9.99093794156159",2004-03-17,20.7,6,12.9,20.7,5.2,12.7,5.9,65.96,0,,0,,,,,7.3,157.7,1032,0.8,5.1,,,,,2004-03-17T06:28:26,2004-03-17T18:28:55,0.94,Clear,Clear conditions throughout the day.,clear-day,"16080099999,16076099999,16090099999,16088099999"
"45.59462093968799, 9.99093794156159",2004-03-18,20.7,7,13.3,20.7,6,13,5.6,63.25,0,,0,,,,,8.9,160.2,1028.7,1.4,5.3,,,,,2004-03-18T06:26:32,2004-03-18T18:30:14,0.97,Clear,Clear conditions throughout the day.,clear-day,"16080099999,16076099999,16090099999,16088099999"
"45.59462093968799, 9.99093794156159",2004-03-19,18.1,6.8,12.4,18.1,5.6,12.2,6.1,67.49,0,,0,,,,,18.4,256.8,1024.7,10.9,5.9,,,,,2004-03-19T06:24:38,2004-03-19T18:31:34,0.99,Clear,Clear conditions throughout the day.,clear-day,"16080099999,16076099999,16090099999,16088099999"
"45.59462093968799, 9.99093794156159",2004-03-20,17,9.2,13,17,8.2,12.9,9.3,79.48,0,,0,,,,,19.9,268.3,1022.3,48.2,7.4,,,,,2004-03-20T06:22:43,2004-03-20T18:32:53,1,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"16080099999,16076099999,16090099999,16088099999"
"45.59462093968799, 9.99093794156159",2004-03-21,16,11.2,13.2,16,11.2,13.2,10.2,82.39,0,,0,,,,,16.1,260.3,1016.4,74.3,7.3,,,,,2004-03-21T06:20:49,2004-03-21T18:34:12,0,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"16080099999,16076099999,16090099999,16088099999"
"45.59462093968799, 9.99093794156159",2004-03-22,18.1,8.4,12.8,18.1,6.3,12.6,5.2,66.06,0,,0,,,,,20,197.5,1009.7,47.4,9.2,,,,,2004-03-22T06:18:54,2004-03-22T18:35:31,0.01,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"16080099999,16076099999,16090099999,16088099999"
"45.59462093968799, 9.99093794156159",2004-03-23,7.6,4.7,6,6.6,3,4.8,5.1,94.51,17.97,,16.67,,,,,12.5,226.7,1005.5,85,6.3,,,,,2004-03-23T06:16:59,2004-03-23T18:36:49,0.03,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"16080099999,16076099999,16090099999,16088099999"
"45.59462093968799, 9.99093794156159",2004-03-24,11.9,4.6,7.8,11.9,2.9,7.1,4.1,79.03,0.36,,4.17,,,,,9.4,200.6,1002.3,77.6,6,,,,,2004-03-24T06:15:05,2004-03-24T18:38:08,0.06,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"16080099999,16076099999,16090099999,16088099999"
"45.59462093968799, 9.99093794156159",2004-03-25,12.7,5.2,8.9,12.7,4.5,8.5,1.5,63.01,0.11,,4.17,,,,,13.3,119,1007.2,70.4,10.1,,,,,2004-03-25T06:13:10,2004-03-25T18:39:27,0.1,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"16080099999,16076099999,16090099999,16088099999"
