name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"46.09570084527681, 12.846088735832206",2018-03-15,11.4,4.3,8,11.4,4.3,7.3,6.2,88.6,9.09,100,12.5,rain,,21,43.2,15.7,93.8,1007.9,68.4,11.3,62.6,5.6,3,,2018-03-15T06:21:40,2018-03-15T18:14:11,0.98,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"11270099999,14106099999,16108099999,E6674,11255099999,16098099999,16105099999,16036099999,11201099999"
"46.09570084527681, 12.846088735832206",2018-03-16,11.4,5.2,8.6,11.4,4.4,7.6,7.1,90.9,23.99,100,50,rain,,1,28.1,14,151.5,1003.7,71.4,8.1,66.3,5.7,5,,2018-03-16T06:19:45,2018-03-16T18:15:33,1,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"11270099999,14106099999,16108099999,E6674,D6145,11255099999,16098099999,16105099999,16036099999"
"46.09570084527681, 12.846088735832206",2018-03-17,10.9,4.5,7.8,10.9,2.5,6.5,5.8,87.1,4.83,100,54.17,rain,,19,45.4,16,54,999.2,72,10.5,37.9,3.1,2,,2018-03-17T06:17:49,2018-03-17T18:16:54,1,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"11270099999,14106099999,16108099999,E6674,11255099999,16098099999,16105099999,16036099999"
"46.09570084527681, 12.846088735832206",2018-03-18,9.1,3,5.6,6.5,-2,2.5,2.3,79.7,5.17,100,75,rain,,97.7,68.4,27.4,75.9,999.8,59.3,21.7,79.2,6.7,4,,2018-03-18T06:15:53,2018-03-18T18:18:15,0.01,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"11270099999,14106099999,16108099999,E6674,14006099999,11255099999,16098099999,16105099999,16036099999,11201099999"
"46.09570084527681, 12.846088735832206",2018-03-19,5.9,1.4,3.1,3.4,-3.8,-0.5,-0.1,79.4,11.39,100,58.33,"rain,snow",,0,54,24.1,91.3,1003.9,72,13.4,73.3,6.2,4,,2018-03-19T06:13:57,2018-03-19T18:19:36,0.02,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain or snow throughout the day.,rain,"11270099999,14106099999,16108099999,D6145,E6674,11255099999,16098099999,16105099999,16036099999"
"46.09570084527681, 12.846088735832206",2018-03-20,8.2,1.3,4.2,6.9,-1.3,2.3,-1.6,67,0,0,0,,,19,50.4,15.1,126.9,1008.8,60.7,13.5,175.6,15.2,7,,2018-03-20T06:12:01,2018-03-20T18:20:57,0.05,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"11270099999,14106099999,16108099999,E6674,11255099999,16098099999,16105099999,16036099999"
"46.09570084527681, 12.846088735832206",2018-03-21,9.9,0.5,4.5,8.4,-1.8,2.3,-5.4,51.6,0,0,0,,,16,43.2,18.4,167.7,1019.8,25.5,13.3,184.5,16,7,,2018-03-21T06:10:05,2018-03-21T18:22:18,0.09,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"11270099999,14106099999,16108099999,E6674,D6145,11255099999,16098099999,16105099999,16036099999"
"46.09570084527681, 12.846088735832206",2018-03-22,10.2,-2.1,3.8,10.2,-4.9,2,-5.1,54.3,0,0,0,,,15,54.7,13.9,120.5,1017.2,6.2,14.9,218.8,18.9,7,,2018-03-22T06:08:09,2018-03-22T18:23:39,0.13,Clear,Clear conditions throughout the day.,clear-day,"11270099999,14106099999,16108099999,D6145,E6674,11255099999,16098099999,16105099999,16036099999"
"46.09570084527681, 12.846088735832206",2018-03-23,10.9,-1.1,5.1,10.9,-3,3.4,-2.2,60.8,0,0,0,,,13,47.5,18.2,155,1005.7,13.7,12.9,212.6,18.4,7,,2018-03-23T06:06:12,2018-03-23T18:25:00,0.19,Clear,Clear conditions throughout the day.,clear-day,"11270099999,14106099999,16108099999,D6145,E6674,11255099999,16098099999,16105099999,16036099999,D5339"
"46.09570084527681, 12.846088735832206",2018-03-24,11.1,0.5,5.9,11.1,-1.3,5.4,-0.2,66.8,0,0,0,,,10,24.1,9.2,168.9,1005.3,45.9,11.6,149.6,12.8,7,,2018-03-24T06:04:16,2018-03-24T18:26:20,0.24,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"11270099999,14106099999,16108099999,E6674,11255099999,16098099999,16105099999,16036099999"
