name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"45.81187754459006, 12.397202099049755",2018-03-15,11.8,7.2,9.2,11.8,5.1,8.3,7.7,90.6,6.23,100,12.5,rain,,,,18,75.6,1007.9,80.1,4.5,55.3,4.9,4,,2018-03-15T06:23:24,2018-03-15T18:16:02,0.98,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"D9151,16099099999,F0150,LIPS,LIPH,16098099999,16105099999,16036099999"
"45.81187754459006, 12.397202099049755",2018-03-16,14.4,7.4,10.1,14.4,4.4,9.1,7.9,86.3,20.62,100,12.5,rain,,,,19.8,166.1,1002.6,70.8,8.7,132.8,11.5,6,,2018-03-16T06:21:30,2018-03-16T18:17:23,1,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"D9151,16099099999,F0150,LIPS,LIPH,16098099999,16105099999,16036099999"
"45.81187754459006, 12.397202099049755",2018-03-17,11.5,7.6,9.2,11.5,4.2,7.6,7.2,87.8,2.54,100,12.5,rain,,,,20.6,54.7,997.5,85.2,8,100.4,8.5,4,,2018-03-17T06:19:35,2018-03-17T18:18:43,1,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"D9151,16099099999,F0150,LIPS,LIPH,16098099999,16105099999,16036099999"
"45.81187754459006, 12.397202099049755",2018-03-18,10,5,8,10,-0.2,4.9,4.6,79.8,3.11,100,12.5,rain,,0,,33.1,59.2,997.4,90.3,10.7,33.2,2.8,1,,2018-03-18T06:17:40,2018-03-18T18:20:04,0.01,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"D9151,16099099999,F0150,LIPS,LIPH,16098099999,16105099999,16036099999"
"45.81187754459006, 12.397202099049755",2018-03-19,6.1,1.3,3.5,5.1,-4.7,-0.5,1.3,85.9,22.07,100,12.5,"rain,snow",,,57.6,33.5,58,1001.3,89.6,8.5,77.7,6.7,4,,2018-03-19T06:15:45,2018-03-19T18:21:24,0.02,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain or snow throughout the day.,rain,"D9151,16099099999,F0150,LIPS,LIPH,16098099999,16105099999,16036099999"
"45.81187754459006, 12.397202099049755",2018-03-20,8.8,3,5.3,6.2,0.2,2.8,0.1,69.9,0,0,0,,,,,20.8,87.2,1007.4,68.9,10.4,119.6,10.2,5,,2018-03-20T06:13:50,2018-03-20T18:22:44,0.05,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"D9151,16099099999,F0150,LIPS,LIPH,16098099999,16105099999,16036099999"
"45.81187754459006, 12.397202099049755",2018-03-21,10.1,2.9,6,10.1,0.4,3.9,-3.6,52.1,0,0,0,,,,,16,62.7,1016.9,33.6,11.3,66.1,5.6,2,,2018-03-21T06:11:54,2018-03-21T18:24:04,0.09,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"D9151,16099099999,F0150,LIPS,LIPH,16098099999,16105099999,16036099999"
"45.81187754459006, 12.397202099049755",2018-03-22,10.3,-0.1,5.2,10.3,-3.2,3.3,-4,53.5,0,0,0,,,,25.9,13.5,92.6,1015.3,4.7,11.6,181.3,15.6,7,,2018-03-22T06:09:59,2018-03-22T18:25:23,0.13,Clear,Clear conditions throughout the day.,clear-day,"D9151,16099099999,F0150,LIPS,LIPH,16098099999,16105099999,16036099999"
"45.81187754459006, 12.397202099049755",2018-03-23,10.8,1.3,6.3,10.8,-1.3,5,-0.1,64.9,0,0,0,,,,,17.1,195,1005.4,16.3,10.6,179.2,15.4,8,,2018-03-23T06:08:04,2018-03-23T18:26:43,0.19,Clear,Clear conditions throughout the day.,clear-day,"D9151,16099099999,F0150,LIPS,LIPH,16098099999,16105099999,16036099999,D5339"
"45.81187754459006, 12.397202099049755",2018-03-24,11.2,1.9,6.8,11.2,0.5,6.3,0.5,66.6,0,0,0,,,,,10.7,152.8,1005,38.3,9.4,146.9,12.7,6,,2018-03-24T06:06:08,2018-03-24T18:28:02,0.24,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"D9151,16099099999,F0150,LIPS,LIPH,16098099999,16105099999,16036099999"
"45.81187754459006, 12.397202099049755",2018-03-25,11.9,5.1,8.1,11.9,3.3,7.4,1.5,64.3,0,0,0,,,,,15.4,125.3,1008.4,38.6,10.1,172.2,14.3,6,,2018-03-25T07:04:13,2018-03-25T19:29:22,0.3,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"D9151,16099099999,F0150,LIPS,LIPH,16098099999,16105099999"
"45.81187754459006, 12.397202099049755",2018-03-26,14.7,2.3,8.7,14.7,0.9,8,1.9,64.8,0,0,0,,,,,10.3,174.7,1010,16.6,10.1,180.9,15.6,7,,2018-03-26T07:02:18,2018-03-26T19:30:41,0.35,Clear,Clear conditions throughout the day.,clear-day,"D9151,16099099999,F0150,LIPS,LIPH,16098099999,16105099999,16036099999"
"45.81187754459006, 12.397202099049755",2018-03-27,15,8,11,15,6.7,10.5,6.1,73.2,1.5,100,4.17,rain,,,,18.2,102.8,1013.1,62.4,9.3,169,14.4,6,,2018-03-27T07:00:23,2018-03-27T19:32:00,0.4,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"D9151,16099099999,F0150,LIPS,LIPH,16098099999,16105099999,16036099999"
"45.81187754459006, 12.397202099049755",2018-03-28,14.7,6,10.7,14.7,4.2,10,6.1,74.8,0.49,100,12.5,rain,,,,11.6,86.3,1012,48.7,8.3,183.1,15.9,6,,2018-03-28T06:58:27,2018-03-28T19:33:19,0.44,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"D9151,16099099999,F0150,LIPS,LIPH,16098099999,16105099999,16036099999"
"45.81187754459006, 12.397202099049755",2018-03-29,12.8,9.1,11,12.8,7.4,10.7,8.7,86.1,2.48,100,8.33,rain,,,,12.7,39.2,1008.1,81.8,5.9,95.9,8.2,3,,2018-03-29T06:56:32,2018-03-29T19:34:38,0.47,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"D9151,16099099999,F0150,LIPS,LIPH,16098099999,16105099999,16036099999"
"45.81187754459006, 12.397202099049755",2018-03-30,15.9,9.2,12.3,15.9,8,12.1,10.2,87.4,0.51,100,12.5,rain,,,,18.8,68,1007.7,73.9,6.4,139.5,12.1,6,,2018-03-30T06:54:38,2018-03-30T19:35:57,0.49,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"16099099999,F0150,LIPS,LIPH,16098099999,16105099999,16036099999"
"45.81187754459006, 12.397202099049755",2018-03-31,13.7,8.9,11.3,13.7,8.1,11.1,9.1,86.7,10.56,100,16.67,rain,,,,15.2,147.8,999.5,73.6,8.9,181.4,15.6,8,,2018-03-31T06:52:43,2018-03-31T19:37:16,0.5,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"16099099999,F0150,LIPS,LIPH,16098099999,16105099999,16036099999"
"45.81187754459006, 12.397202099049755",2018-04-01,18.4,7.2,12.1,18.4,7.1,12,5.3,68.4,0.38,100,4.17,rain,,,,23,192.3,1003.3,44.4,14.7,159.2,13.6,8,,2018-04-01T06:50:49,2018-04-01T19:38:35,0.51,"Rain, Partially cloudy",Clearing in the afternoon with early morning rain.,rain,"D9151,16099099999,F0150,LIPS,LIPH,16098099999,16105099999"
"45.81187754459006, 12.397202099049755",2018-04-02,16.6,5.1,11.5,16.6,5.1,11.2,6.5,73.2,0,0,0,,,,,13.2,121.5,1014.2,18.7,13,229.9,20,8,,2018-04-02T06:48:55,2018-04-02T19:39:54,0.53,Clear,Clear conditions throughout the day.,clear-day,"D9151,16099099999,F0150,LIPS,LIPH,16098099999,16105099999"
"45.81187754459006, 12.397202099049755",2018-04-03,14.6,9.1,12,14.6,7.6,11.7,8.5,79.8,0.05,100,4.17,rain,,,,13.7,62.5,1017.7,67,9.9,181.2,15.5,6,,2018-04-03T06:47:01,2018-04-03T19:41:12,0.55,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"D9151,16099099999,F0150,LIPS,LIPH,16098099999,16105099999,16036099999"
"45.81187754459006, 12.397202099049755",2018-04-04,13.2,9.2,11.4,13.2,8.2,11.2,9,85.3,4.13,100,8.33,rain,,,,14.4,72.1,1017,90.8,9.2,51,4.5,2,,2018-04-04T06:45:08,2018-04-04T19:42:31,0.59,"Rain, Overcast",Cloudy skies throughout the day with rain in the morning and afternoon.,rain,"D9151,16099099999,F0150,LIPS,LIPH,16098099999,16105099999,16036099999,D5339"
"45.81187754459006, 12.397202099049755",2018-04-05,16.7,10.4,13.1,16.7,10.4,13.1,10.3,84,7.85,100,12.5,rain,,,,14.3,83,1013.7,73,8.9,151.8,13,8,,2018-04-05T06:43:14,2018-04-05T19:43:50,0.63,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"D9151,16099099999,F0150,LIPS,LIPH,16098099999,16105099999,16036099999,D5339"
"45.81187754459006, 12.397202099049755",2018-04-06,18.7,8.7,13.6,18.7,8.3,13.5,9.6,77.8,0.17,100,12.5,rain,,,,12.1,102.9,1019.1,28.9,7.4,240.6,20.9,9,,2018-04-06T06:41:22,2018-04-06T19:45:08,0.67,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"D9151,16099099999,F0150,LIPS,LIPH,16098099999,16105099999,16036099999"
"45.81187754459006, 12.397202099049755",2018-04-07,18.5,8.3,13.2,18.5,6.5,13,6.6,66.8,0,0,0,,,,,13.8,123.3,1019.4,11,10.2,252.2,21.9,9,,2018-04-07T06:39:30,2018-04-07T19:46:27,0.72,Clear,Clear conditions throughout the day.,clear-day,"D9151,16099099999,F0150,LIPS,LIPH,16098099999,16105099999,16036099999"
"45.81187754459006, 12.397202099049755",2018-04-08,18.4,6.8,13,18.4,6.7,12.9,5.5,64,0,0,0,,,,,11.8,140.2,1016.7,8.7,13.7,231.4,20.1,8,,2018-04-08T06:37:38,2018-04-08T19:47:46,0.76,Clear,Clear conditions throughout the day.,clear-day,"D9151,16099099999,F0150,LIPS,LIPH,16098099999,16105099999"
"45.81187754459006, 12.397202099049755",2018-04-09,20.3,10.1,13.5,20.3,10.1,13.5,8.8,74.4,2.87,100,4.17,rain,,,,29.4,109.6,1010.8,59.1,10.2,43.1,3.5,2,,2018-04-09T06:35:46,2018-04-09T19:49:04,0.81,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"D9151,16099099999,F0150,LIPS,LIPH,16098099999,16105099999,16036099999"
"45.81187754459006, 12.397202099049755",2018-04-10,17.5,11.3,13.8,17.5,11.3,13.8,10.6,81.5,1,100,12.5,rain,,,,15.8,203.5,1009.9,81.6,8.9,182.7,15.9,7,,2018-04-10T06:33:56,2018-04-10T19:50:23,0.86,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"D9151,16099099999,F0150,LIPS,LIPH,16098099999,16105099999,16036099999"
"45.81187754459006, 12.397202099049755",2018-04-11,17,9.4,13.1,17,8.6,13,10.3,83.7,3.02,100,12.5,rain,,,,16.6,53.9,1009.9,58,9.5,60.7,5,2,,2018-04-11T06:32:05,2018-04-11T19:51:41,0.9,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"D9151,16099099999,F0150,LIPS,LIPH,16098099999,16105099999,16036099999"
"45.81187754459006, 12.397202099049755",2018-04-12,13.6,11.6,12.9,13.6,11.6,12.9,10.6,86.1,12.37,100,8.33,rain,,,,19.9,67.9,1008.2,89.1,8.9,63.1,5.4,4,,2018-04-12T06:30:16,2018-04-12T19:53:00,0.94,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"16099099999,F0150,LIPS,LIPH,16098099999,16105099999,16036099999"
"45.81187754459006, 12.397202099049755",2018-04-13,18,9.1,13.5,18,8.3,13.4,8.7,74.8,3.69,100,12.5,rain,,,,14,156.1,1013,47.7,13.4,181.9,15.6,7,,2018-04-13T06:28:27,2018-04-13T19:54:19,0.97,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"D9151,16099099999,F0150,LIPS,LIPH,16098099999,16105099999,16036099999"
"45.81187754459006, 12.397202099049755",2018-04-14,20.2,7.5,14.2,20.2,7.5,14.2,7.9,68.7,0,0,0,,,,,7.9,175.5,1019.9,11.7,12.8,222.1,19.2,9,,2018-04-14T06:26:38,2018-04-14T19:55:37,0.99,Clear,Clear conditions throughout the day.,clear-day,"D9151,16099099999,F0150,LIPS,LIPH,16098099999,16105099999,16036099999"
"45.81187754459006, 12.397202099049755",2018-04-15,21.9,12.4,17.2,21.9,12.4,17.2,10.7,66.3,0,0,0,,,,,23.7,97.2,1012.8,56.5,12.7,73.7,6.4,3,,2018-04-15T06:24:51,2018-04-15T19:56:56,1,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"D9151,16099099999,F0150,LIPS,LIPH,16098099999,16105099999"
"45.81187754459006, 12.397202099049755",2018-04-16,23.8,13.5,17.7,23.8,13.5,17.7,12.8,74.5,2.91,100,12.5,rain,,,,18.5,148,1010.3,39.9,10.2,223.7,19.4,8,,2018-04-16T06:23:04,2018-04-16T19:58:14,0,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"D9151,16099099999,F0150,LIPS,LIPH,16098099999,16105099999,16036099999"
"45.81187754459006, 12.397202099049755",2018-04-17,23.4,13.1,18.3,23.4,13.1,18.3,12,69,0.07,100,4.17,rain,,,,13.2,180.6,1019.6,38.4,11.2,206.1,17.9,7,,2018-04-17T06:21:18,2018-04-17T19:59:33,0.01,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"D9151,16099099999,F0150,LIPS,LIPH,16098099999,16105099999,16036099999"
"45.81187754459006, 12.397202099049755",2018-04-18,24.6,11.3,18.3,24.6,11.3,18.3,10.7,63.8,0,0,0,,,,,11.4,196,1027,6.6,11.7,142.1,12.1,5,,2018-04-18T06:19:32,2018-04-18T20:00:51,0.04,Clear,Clear conditions throughout the day.,clear-day,"D9151,16099099999,F0150,LIPS,LIPH,16098099999,16105099999,16036099999"
