name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"45.9831085, 13.5870828",2015-03-15,14.1,2.8,9.3,14.1,0.9,8.2,-0.8,50.1,0,0,0,,,154.5,37.9,21,87.3,1026.4,16.2,12.1,181.7,15.8,7,,2015-03-15T06:19:13,2015-03-15T18:10:53,0.85,Clear,Clear conditions throughout the day.,clear-day,"14106099999,16108099999,14006099999,14112099999,14008099999,16110099999"
"45.9831085, 13.5870828",2015-03-16,10.3,7.4,8.8,10.3,4.9,7.2,3,68.4,7.21,100,8.33,rain,,155.5,32,19.8,85.3,1029,34.3,8.7,46.1,4,2,,2015-03-16T06:17:18,2015-03-16T18:12:15,0.9,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"14106099999,16108099999,14006099999,14112099999,14008099999,16110099999"
"45.9831085, 13.5870828",2015-03-17,14.4,9.4,11.7,14.4,7.6,11.3,3.2,56.8,3.4,100,8.33,rain,,165.9,38.6,19.9,73.3,1027.2,29.2,16.4,122.3,10.6,4,,2015-03-17T06:15:23,2015-03-17T18:13:36,0.94,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"14106099999,16108099999,14006099999,14112099999,14008099999,16110099999"
"45.9831085, 13.5870828",2015-03-18,16.6,1.7,9.2,16.6,0.4,8.6,0.6,58.5,0,0,0,,,162,34.7,18,125.1,1024.3,1.9,27.5,210.1,18,7,,2015-03-18T06:13:27,2015-03-18T18:14:57,0.98,Clear,Clear conditions throughout the day.,clear-day,"14106099999,16108099999,14006099999,14112099999,14008099999,16110099999"
"45.9831085, 13.5870828",2015-03-19,16.4,1.6,9,16.4,-0.1,8.5,1,61.1,0,0,0,,,157.9,25,13.7,158.8,1023,2.6,22.2,209.8,18,7,,2015-03-19T06:11:32,2015-03-19T18:16:17,1,Clear,Clear conditions throughout the day.,clear-day,"14106099999,16108099999,14006099999,14112099999,14008099999,16110099999"
"45.9831085, 13.5870828",2015-03-20,14.1,3.8,8.5,14.1,2.1,8.1,1.9,65,0,0,0,,,155.4,24.3,13,190.4,1024.1,15.4,17.2,200.2,17.4,7,,2015-03-20T06:09:36,2015-03-20T18:17:38,0,Clear,Clear conditions throughout the day.,clear-day,"14106099999,16108099999,14006099999,14112099999,14008099999,16110099999"
"45.9831085, 13.5870828",2015-03-21,13.1,2.6,7.7,13.1,2.6,7.7,2.5,70.8,0,0,0,,,154.5,28.5,14.5,165,1020,28.9,17.8,201.3,17.4,7,,2015-03-21T06:07:40,2015-03-21T18:18:59,0.01,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"14106099999,16108099999,14006099999,14112099999,14008099999,16110099999"
"45.9831085, 13.5870828",2015-03-22,14,6.2,8.8,14,5.3,8.4,5.6,81.1,2.96,100,8.33,rain,,154.5,12.1,13.1,156.8,1016.7,24,11.4,145.1,12.4,6,,2015-03-22T06:05:44,2015-03-22T18:20:19,0.03,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"14106099999,16108099999,14006099999,14112099999,14008099999,16110099999"
"45.9831085, 13.5870828",2015-03-23,17.2,4.1,11.1,17.2,2.3,10.5,1.7,55,0.15,100,4.17,rain,,154.5,35.9,20.3,115.8,1016.1,4.1,19.6,213,18.5,7,,2015-03-23T06:03:48,2015-03-23T18:21:39,0.07,Rain,Clear conditions throughout the day with morning rain.,rain,"14106099999,16108099999,14006099999,14112099999,14008099999,16110099999"
"45.9831085, 13.5870828",2015-03-24,15.5,3.6,10,15.5,2,9.8,3.2,64.2,0,0,0,,,152.9,28.6,14.1,159.7,1013.7,15.3,21.6,192.6,16.6,7,,2015-03-24T06:01:52,2015-03-24T18:22:59,0.11,Clear,Clear conditions throughout the day.,clear-day,"14106099999,16108099999,14006099999,14112099999,14008099999,16110099999"
"45.9831085, 13.5870828",2015-03-25,13.6,8.5,10.8,13.6,7.7,10.6,6.4,74.7,5.97,100,8.33,rain,,160.4,43.1,23.8,111.6,1005.5,31.5,12.4,41.5,3.6,2,,2015-03-25T05:59:56,2015-03-25T18:24:19,0.16,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"14106099999,16108099999,14006099999,14112099999,14008099999,16110099999"
"45.9831085, 13.5870828",2015-03-26,14.7,10.8,12.3,14.7,10.8,12.3,10.8,90.6,37.53,100,16.67,rain,,189.2,22.4,12.4,128.5,1006.2,33,7.5,99.9,8.7,4,,2015-03-26T05:58:00,2015-03-26T18:25:39,0.21,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"14106099999,16108099999,14006099999,14112099999,14008099999,16110099999"
"45.9831085, 13.5870828",2015-03-27,13,8.8,11.1,13,8.4,11,6.3,74.3,9.56,100,16.67,rain,,196.2,40.8,18.8,99.8,1008.3,34.1,11.2,59.9,5.1,2,,2015-03-27T05:56:05,2015-03-27T18:26:59,0.26,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"14106099999,16108099999,14006099999,14112099999,14008099999,16110099999"
"45.9831085, 13.5870828",2015-03-28,16.9,3.9,10.8,16.9,2.8,10.5,2,59,0,0,0,,,186.9,39.5,14.5,205.8,1015,4.5,30.8,247.7,21.4,8,,2015-03-28T05:54:09,2015-03-28T18:28:18,0.31,Clear,Clear conditions throughout the day.,clear-day,"14106099999,16108099999,14006099999,14112099999,14008099999,16110099999"
"45.9831085, 13.5870828",2015-03-29,15.1,4.2,9.9,15.1,3.4,9.5,2.1,60.2,0,0,0,,,157.5,25.3,12.1,193.1,1012.8,16.6,28.8,222.8,18.5,8,,2015-03-29T06:52:13,2015-03-29T19:29:38,0.36,Clear,Clear conditions throughout the day.,clear-day,"14106099999,16108099999,14006099999,14112099999,14008099999,16110099999"
