name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"43.56893122619531, 11.16702619894823",2015-03-15,13,3.2,8.6,13,3.2,7.9,4,74.6,1.82,100,4.17,rain,,125,50,28.7,87.1,991.6,50.4,9.3,87.5,7.5,3,,2015-03-15T06:28:19,2015-03-15T18:21:04,0.85,"Rain, Partially cloudy",Becoming cloudy in the afternoon with late afternoon rain.,rain,"16170099999,16134099999,16158099999,16172099999,LIRQ"
"43.56893122619531, 11.16702619894823",2015-03-16,11.3,8.4,9.5,11.3,6.5,8.8,7.6,87.9,8.34,100,16.67,rain,,125,,21.1,137.3,,85.1,8.8,69.8,6.1,3,,2015-03-16T06:26:32,2015-03-16T18:22:18,0.9,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"16170099999,16134099999,16158099999,16172099999,LIRQ"
"43.56893122619531, 11.16702619894823",2015-03-17,14.1,7.4,11.5,14.1,4.8,11.1,7.3,76.6,12.77,100,12.5,rain,,126,42.5,27.2,120.8,994.8,58.6,9.2,173.9,15.1,7,,2015-03-17T06:24:45,2015-03-17T18:23:31,0.94,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"16170099999,16134099999,16158099999,16172099999,LIRQ"
"43.56893122619531, 11.16702619894823",2015-03-18,17.8,5.6,11.9,17.8,5.6,11.6,4.1,60.7,0,0,0,,,127,,16,137.2,,2.4,11,217.2,18.7,7,,2015-03-18T06:22:57,2015-03-18T18:24:44,0.98,Clear,Clear conditions throughout the day.,clear-day,"16170099999,16134099999,16158099999,16172099999,LIRQ"
"43.56893122619531, 11.16702619894823",2015-03-19,18.7,3.7,11,18.7,3.7,11,3.6,64.7,0,0,0,,,125.5,,9,141.2,,1.9,10.2,222.4,19.3,7,,2015-03-19T06:21:10,2015-03-19T18:25:57,1,Clear,Clear conditions throughout the day.,clear-day,"16170099999,16134099999,16158099999,16172099999,LIRQ"
"43.56893122619531, 11.16702619894823",2015-03-20,18.7,3.8,11.1,18.7,3.8,11.1,3.3,63.6,0,0,0,,,122,,9.1,162.7,,1.6,9.5,211.2,18.3,7,,2015-03-20T06:19:22,2015-03-20T18:27:09,0,Clear,Clear conditions throughout the day.,clear-day,"16170099999,16134099999,16158099999,16172099999,LIRQ"
"43.56893122619531, 11.16702619894823",2015-03-21,15.2,5.6,10,15.2,4.7,9.9,5.3,74.6,0,0,0,,,120.5,,15.5,135.6,,31.6,9.2,128.5,11,5,,2015-03-21T06:17:34,2015-03-21T18:28:22,0.01,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"16170099999,16134099999,16158099999,16172099999,LIRQ"
"43.56893122619531, 11.16702619894823",2015-03-22,14.9,7.5,10.9,14.9,6.5,10.7,5.3,70.1,0,0,0,,,120,50,29.5,83.9,,66.1,9.6,192.5,16.7,7,,2015-03-22T06:15:46,2015-03-22T18:29:34,0.03,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"16170099999,16134099999,16158099999,16172099999,LIRQ"
"43.56893122619531, 11.16702619894823",2015-03-23,17,10.4,13.2,17,10.4,13.2,4.7,57,0.76,100,12.5,rain,,130,42.5,24.1,38.1,,38.6,9.6,201.8,17.5,8,,2015-03-23T06:13:58,2015-03-23T18:30:46,0.07,"Rain, Partially cloudy",Clearing in the afternoon with rain.,rain,"16170099999,16134099999,16158099999,16172099999,LIRQ"
"43.56893122619531, 11.16702619894823",2015-03-24,16.1,8.7,12.3,16.1,7.7,12.2,7.3,72.3,0.53,100,12.5,rain,,132,,10.5,103,,58.6,9.2,162.4,14,6,,2015-03-24T06:12:10,2015-03-24T18:31:59,0.11,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"16170099999,16134099999,16158099999,16172099999,LIRQ"
"43.56893122619531, 11.16702619894823",2015-03-25,14,10.2,12.7,14,10.2,12.7,8.6,76.5,6,100,12.5,rain,,135,55.4,29.1,80.1,,68.9,9,54.5,4.6,2,,2015-03-25T06:10:22,2015-03-25T18:33:11,0.16,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"16170099999,16134099999,16158099999,16172099999,LIRQ"
"43.56893122619531, 11.16702619894823",2015-03-26,15.3,8.9,12.7,15.3,7.6,12.7,10.2,84.9,16,100,12.5,rain,,136.5,,29.9,194.8,,74.7,9.4,188.3,16.3,7,,2015-03-26T06:08:34,2015-03-26T18:34:22,0.21,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"16170099999,16134099999,16158099999,16172099999,LIRQ"
"43.56893122619531, 11.16702619894823",2015-03-27,13.3,8.9,11.1,13.3,8.6,11,7.4,79.6,2.47,100,12.5,rain,,135.5,48.2,23.2,150,,53.1,7.2,167.4,14.5,6,,2015-03-27T06:06:46,2015-03-27T18:35:34,0.26,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"16170099999,16134099999,16158099999,16172099999,LIRQ"
"43.56893122619531, 11.16702619894823",2015-03-28,17.7,8.3,12.8,17.7,6.8,12.5,0.3,45.1,0,0,0,,,133.5,,21.7,92.8,,4.4,11.3,255.4,21.8,8,,2015-03-28T06:04:58,2015-03-28T18:36:46,0.31,Clear,Clear conditions throughout the day.,clear-day,"16170099999,16134099999,16158099999,16172099999,LIRQ"
"43.56893122619531, 11.16702619894823",2015-03-29,18.9,3.8,11.3,18.9,3.8,11.1,1.5,54.9,0,0,0,,,126,,18.8,142.2,,2.3,11.9,246.7,20.5,8,,2015-03-29T07:03:11,2015-03-29T19:37:58,0.36,Clear,Clear conditions throughout the day.,clear-day,"16170099999,16134099999,16158099999,16172099999,LIRQ"
"43.56893122619531, 11.16702619894823",2015-03-30,16.3,8.8,12.1,16.3,8.1,11.9,7.6,73.8,0,0,0,,,115.5,,23.3,173.6,,57.6,10.9,247.1,21.1,8,,2015-03-30T07:01:23,2015-03-30T19:39:09,0.4,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"16170099999,16134099999,16158099999,16172099999,LIRQ"
"43.56893122619531, 11.16702619894823",2015-03-31,19.1,8.9,13.7,19.1,7.9,13.5,9.6,78.3,0,0,0,,,106,44.6,27,199.9,,56.3,10.3,257.5,22.3,8,,2015-03-31T06:59:36,2015-03-31T19:40:21,0.43,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"16170099999,16134099999,16158099999,16172099999,LIRQ"
"43.56893122619531, 11.16702619894823",2015-04-01,20.5,9.4,15,20.5,8.3,15,5.1,59.5,0,0,0,,,102,50,30.5,267.5,,40.4,11.5,269,23.2,8,,2015-04-01T06:57:49,2015-04-01T19:41:32,0.46,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"16170099999,16134099999,16158099999,16172099999,LIRQ"
"43.56893122619531, 11.16702619894823",2015-04-02,18.9,3.8,11.2,18.9,1.3,10.5,1.9,56.6,0,0,0,,,98.5,,28,169.9,,4,13.5,255,21.9,8,,2015-04-02T06:56:02,2015-04-02T19:42:44,0.48,Clear,Clear conditions throughout the day.,clear-day,"16170099999,16134099999,16158099999,16172099999,LIRQ"
