name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"45.86058621041889, 12.554067370215646",2017-03-15,15.9,5.2,10.7,15.9,2.4,10.2,5.8,74.1,0,0,0,,,,,14.8,175.5,1027.5,29.5,7.7,165.8,14.2,7,,2017-03-15T06:22:19,2017-03-15T18:15:43,0.54,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"16099099999,16108099999,16098099999,16105099999,16036099999"
"45.86058621041889, 12.554067370215646",2017-03-16,17.7,6.8,11.6,17.7,5.3,11.2,6.3,71.8,0,0,0,,,,,9.2,143.7,1024,16.4,7.5,190.6,16.5,7,,2017-03-16T06:20:24,2017-03-16T18:17:04,0.57,Clear,Clear conditions throughout the day.,clear-day,"16099099999,16108099999,16098099999,16105099999,16036099999"
"45.86058621041889, 12.554067370215646",2017-03-17,17.5,4.5,10.8,17.5,3.3,10.5,6.4,76.2,0,0,0,,,,,10,100.8,1018,1.1,6,191.5,16.6,7,,2017-03-17T06:18:29,2017-03-17T18:18:25,0.61,Clear,Clear conditions throughout the day.,clear-day,"16099099999,16108099999,16098099999,16105099999,16036099999"
"45.86058621041889, 12.554067370215646",2017-03-18,15.4,7,10.8,15.4,5.8,10.2,7.2,79.5,0,0,0,,,,,12.4,79.8,1010.9,35.8,6,118.3,10.3,5,,2017-03-18T06:16:34,2017-03-18T18:19:45,0.65,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"16099099999,16108099999,16098099999,16105099999,16036099999"
"45.86058621041889, 12.554067370215646",2017-03-19,15.7,6.4,10.9,15.7,5.7,10.7,8.7,87,0,0,0,,,,,11.2,181.6,1011.3,31.9,5,113.3,9.7,5,,2017-03-19T06:14:39,2017-03-19T18:21:05,0.7,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"16099099999,16108099999,16098099999,16105099999"
"45.86058621041889, 12.554067370215646",2017-03-20,17.3,8.1,12.4,17.3,7.1,12.2,10.2,87,0,0,0,,,,,13.7,113.5,1013.3,57.5,6.6,168.9,14.7,6,,2017-03-20T06:12:43,2017-03-20T18:22:25,0.75,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"16099099999,16108099999,16098099999,16105099999,16036099999"
"45.86058621041889, 12.554067370215646",2017-03-21,14.7,10.4,12.3,14.7,10.4,12.3,10.4,88.3,0,0,0,,,,,9.4,125.9,1012.4,83.5,4.1,117.7,10.1,4,,2017-03-21T06:10:48,2017-03-21T18:23:45,0.79,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"16099099999,16108099999,16098099999,16105099999,16036099999"
"45.86058621041889, 12.554067370215646",2017-03-22,13.1,10.3,11.7,13.1,10.3,11.7,10.4,91.9,0.02,100,4.17,rain,,,,9.8,84.1,1012.8,83.3,3.4,88.7,7.7,3,,2017-03-22T06:08:53,2017-03-22T18:25:05,0.84,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"16099099999,16108099999,16098099999,16105099999,16036099999"
"45.86058621041889, 12.554067370215646",2017-03-23,17.8,11.1,13.8,17.8,11.1,13.8,11.2,84.7,0.01,100,4.17,rain,,,,13.5,75.4,1017.3,57.4,6.6,139.8,12.1,5,,2017-03-23T06:06:57,2017-03-23T18:26:25,0.89,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"16099099999,16108099999,16098099999,16105099999,16036099999"
"45.86058621041889, 12.554067370215646",2017-03-24,19.7,8.1,13.5,19.7,7,13.4,9.7,79.1,0,0,0,,,,,9.9,176,1022.5,29.4,7.8,167.7,14.7,6,,2017-03-24T06:05:01,2017-03-24T18:27:45,0.93,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"16099099999,16108099999,16098099999,16105099999,16036099999"
"45.86058621041889, 12.554067370215646",2017-03-25,21.9,9.7,15.1,21.9,8.9,15,8.8,69.5,0,0,0,,,,,10.9,129.2,1020.8,19.8,10.5,224.5,19.4,7,,2017-03-25T06:03:06,2017-03-25T18:29:04,0.96,Clear,Clear conditions throughout the day.,clear-day,"16099099999,16108099999,16098099999,16105099999,16036099999"
"45.86058621041889, 12.554067370215646",2017-03-26,16.4,8.9,12,16.4,7.5,11.8,8,77.4,2.13,100,4.17,rain,,,,29.8,154,1018,54.1,8.1,147.1,12.1,5,,2017-03-26T07:01:10,2017-03-26T19:30:23,0.99,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"16099099999,16108099999,16098099999,16105099999"
"45.86058621041889, 12.554067370215646",2017-03-27,16.4,4.2,11.1,16.4,2.1,10.4,0.9,51,0,0,0,,,,,13.5,158.1,1024.7,10.7,15.4,248.3,21.5,8,,2017-03-27T06:59:15,2017-03-27T19:31:43,1,Clear,Clear conditions throughout the day.,clear-day,"16099099999,16108099999,16098099999,16105099999,16036099999"
"45.86058621041889, 12.554067370215646",2017-03-28,20.7,4.9,12.9,20.7,2.8,12.5,2.8,53.1,0,0,0,,,,,11.9,195.9,1023.4,0,20.5,246.7,21.2,8,,2017-03-28T06:57:20,2017-03-28T19:33:02,0,Clear,Clear conditions throughout the day.,clear-day,"16099099999,16108099999,16098099999,16105099999,16036099999"
"45.86058621041889, 12.554067370215646",2017-03-29,23.9,7.1,15.4,23.9,5.8,15.2,6,57,0,0,0,,,,,15.9,240.8,1023,4.7,16,235.8,20.4,8,,2017-03-29T06:55:25,2017-03-29T19:34:21,0.01,Clear,Clear conditions throughout the day.,clear-day,"16099099999,16108099999,16098099999,16105099999,16036099999"
