name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"45.70460127167612, 12.476667539517802",2018-03-15,11.6,7.1,9.1,11.6,5,7.9,7.8,91.8,5.06,100,12.5,rain,,,,18.9,69.4,1007.9,79.9,4.8,55,4.9,4,,2018-03-15T06:23:04,2018-03-15T18:15:44,0.98,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"16099099999,F0150,LIPZ,LIPH,E6674,16098099999,16105099999,16036099999"
"45.70460127167612, 12.476667539517802",2018-03-16,14,7.1,10,14,3.7,8.8,7.9,87.2,19.46,100,12.5,rain,,,,22.9,168.1,1002.6,66.6,8.8,133,11.5,6,,2018-03-16T06:21:09,2018-03-16T18:17:05,1,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"16099099999,F0150,LIPZ,LIPH,E6674,16105099999,16098099999,16036099999"
"45.70460127167612, 12.476667539517802",2018-03-17,11.8,7.5,9,11.8,4.1,7.3,7.3,89.4,2.97,100,12.5,rain,,,,21.2,46.8,997.5,86,7.8,100.3,8.5,4,,2018-03-17T06:19:15,2018-03-17T18:18:25,1,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"16099099999,F0150,LIPZ,LIPH,E6674,16105099999,16098099999,16036099999"
"45.70460127167612, 12.476667539517802",2018-03-18,10,5,7.8,10,-0.6,4.6,4.6,80.5,3.94,100,12.5,rain,,0,,38.9,53.3,997.4,87.8,10.5,33.4,2.9,1,,2018-03-18T06:17:21,2018-03-18T18:19:45,0.01,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"16099099999,F0150,LIPZ,LIPH,E6674,16105099999,16098099999,16036099999"
"45.70460127167612, 12.476667539517802",2018-03-19,5.8,0.8,3.1,4,-5.6,-1.4,1,86.8,22.35,100,12.5,"rain,snow",,,57.6,36.2,50.4,1001.3,91.1,8.5,78.9,6.8,4,,2018-03-19T06:15:26,2018-03-19T18:21:04,0.02,"Snow, Rain, Overcast",Cloudy skies throughout the day with a chance of rain or snow throughout the day.,rain,"16099099999,F0150,LIPZ,LIPH,16105099999,16098099999,16036099999"
"45.70460127167612, 12.476667539517802",2018-03-20,8.6,2.6,5.1,5.7,-0.4,2.3,-0.2,69.5,0,0,0,,,,,27.1,80.7,1007.4,62.3,10.3,129.6,11.1,7,,2018-03-20T06:13:31,2018-03-20T18:22:24,0.05,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"16099099999,F0150,LIPZ,LIPH,E6674,16105099999,16098099999,16036099999"
"45.70460127167612, 12.476667539517802",2018-03-21,9.7,2.6,6,7.6,-0.7,3.1,-3.8,50.5,0,0,0,,,,,18.6,63.6,1016.9,27.4,11,64.2,5.5,2,,2018-03-21T06:11:36,2018-03-21T18:23:44,0.09,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"16099099999,F0150,LIPZ,LIPH,E6674,16105099999,16098099999,16036099999"
"45.70460127167612, 12.476667539517802",2018-03-22,9.8,0.3,5.2,9,-3.5,2.7,-4.6,51.1,0,0,0,,,,25.9,15.3,87.6,1015.3,2.4,11.2,182,15.8,7,,2018-03-22T06:09:41,2018-03-22T18:25:03,0.13,Clear,Clear conditions throughout the day.,clear-day,"16099099999,F0150,LIPZ,LIPH,E6674,16105099999,16098099999,16036099999"
"45.70460127167612, 12.476667539517802",2018-03-23,10.3,1.6,6.3,10.3,-1.3,4.5,-1,60.4,0,0,0,,,,,16.8,152.7,1005.4,8.2,10.5,178.9,15.4,8,,2018-03-23T06:07:46,2018-03-23T18:26:22,0.19,Clear,Clear conditions throughout the day.,clear-day,"16099099999,F0150,LIPZ,LIPH,E6674,16105099999,16098099999,16036099999"
"45.70460127167612, 12.476667539517802",2018-03-24,10.8,2.1,6.8,10.8,0.4,6,0.2,64.8,0,0,0,,,,,10.7,158.6,1005,28.7,9.7,147,12.7,6,,2018-03-24T06:05:51,2018-03-24T18:27:41,0.24,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"16099099999,F0150,LIPZ,LIPH,E6674,16105099999,16098099999,16036099999"
