name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"42.99548196956521, 11.868507327818769",2017-03-15,15,3.7,10,15,2.3,9.7,-3.4,43.4,0,0,0,,,,,19,87.5,1025.5,4.5,16.7,225.8,19.4,8,,2017-03-15T06:24:28,2017-03-15T18:18:58,0.54,Clear,Clear conditions throughout the day.,clear-day,"16218099999,LIRZ,16216099999,16181099999,16172099999,16206099999,LIRS,16204099999"
"42.99548196956521, 11.868507327818769",2017-03-16,16.9,3.4,10.6,16.9,2.1,10.1,0,51.8,0,0,0,,,,,11.5,122.5,1023.4,2,15.7,224.7,19.5,8,,2017-03-16T06:22:43,2017-03-16T18:20:10,0.57,Clear,Clear conditions throughout the day.,clear-day,"16218099999,LIRZ,16216099999,16181099999,16172099999,16206099999,LIRS,16204099999"
"42.99548196956521, 11.868507327818769",2017-03-17,16.8,3.3,10.9,16.8,1.3,10.5,-0.5,51,0,0,0,,,,,26.9,188.8,1020.6,0,16,227.9,19.8,8,,2017-03-17T06:20:57,2017-03-17T18:21:21,0.61,Clear,Clear conditions throughout the day.,clear-day,"16218099999,LIRZ,16216099999,16181099999,16172099999,16206099999,LIRS,16204099999"
"42.99548196956521, 11.868507327818769",2017-03-18,17.1,4,10.9,17.1,1.8,10.2,6.4,75.1,0,0,0,,,,,21.6,200.2,1015.5,28.3,12.6,220.5,19,8,,2017-03-18T06:19:12,2017-03-18T18:22:32,0.65,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"16218099999,LIRZ,16216099999,16181099999,16172099999,16206099999,LIRS"
"42.99548196956521, 11.868507327818769",2017-03-19,18.2,5.8,12.7,18.2,5,12.5,8.3,75.7,0,0,0,,,,,12.6,129.5,1013.7,39.3,9.2,221.5,19.2,8,,2017-03-19T06:17:26,2017-03-19T18:23:43,0.7,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"16218099999,LIRZ,16181099999,16216099999,16172099999,16206099999,LIRS"
"42.99548196956521, 11.868507327818769",2017-03-20,15,9.5,12.2,15,9.5,12.2,8.3,77.4,0,0,0,,,,,9.2,191.5,1014.2,56.9,9.4,117.9,10.3,4,,2017-03-20T06:15:40,2017-03-20T18:24:54,0.75,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"LIRV,16218099999,LIRZ,16216099999,16181099999,16172099999,16206099999,LIRS,16204099999"
"42.99548196956521, 11.868507327818769",2017-03-21,17,9.1,12.5,17,8.6,12.4,7.2,72.4,0,0,0,,,,,10.8,144.8,1012.3,38.4,10.5,227.4,19.6,8,,2017-03-21T06:13:53,2017-03-21T18:26:04,0.79,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"16218099999,LIRZ,16216099999,16181099999,16172099999,16206099999,LIRS,16204099999"
"42.99548196956521, 11.868507327818769",2017-03-22,13.5,6.7,10.5,13.5,6.7,10.5,7.7,83.3,0,0,0,,,,,11.1,182.6,1013.7,64.4,9.5,125.5,10.8,4,,2017-03-22T06:12:07,2017-03-22T18:27:15,0.84,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"16218099999,LIRZ,16216099999,16181099999,16172099999,16206099999,LIRS,16204099999"
"42.99548196956521, 11.868507327818769",2017-03-23,13.8,8.7,11.1,13.8,8.1,11,8,82,0,0,0,,,,,9.6,167.2,1017.9,51.7,9.2,176.3,15.1,7,,2017-03-23T06:10:21,2017-03-23T18:28:25,0.89,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"16218099999,LIRZ,16216099999,16181099999,16172099999,16206099999,LIRS,16204099999"
"42.99548196956521, 11.868507327818769",2017-03-24,17.2,7.8,12.3,17.2,7.1,12.3,4.5,63.3,0,0,0,,,,,8.8,101,1021.6,15.5,10.5,152.9,13.2,6,,2017-03-24T06:08:35,2017-03-24T18:29:35,0.93,Clear,Clear conditions throughout the day.,clear-day,"16218099999,LIRZ,16216099999,16181099999,16172099999,16206099999,LIRS,16204099999"
"42.99548196956521, 11.868507327818769",2017-03-25,21.6,7.7,14.7,21.6,7.2,14.6,7.8,66,0,0,0,,,,,16.9,146.3,1020.4,22.8,10.8,224.4,19.3,8,,2017-03-25T06:06:48,2017-03-25T18:30:46,0.96,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"LIRV,16218099999,LIRZ,16216099999,16181099999,16172099999,16206099999,LIRS"
"42.99548196956521, 11.868507327818769",2017-03-26,15.4,7.3,11.5,15.4,6.2,11.1,6.2,71.9,3.89,100,8.33,rain,,,38.9,22.4,274.3,1020.2,45.2,11.7,259.2,21.4,8,,2017-03-26T07:05:02,2017-03-26T19:31:56,0.99,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"16218099999,LIRZ,16216099999,16181099999,16172099999,16206099999,LIRS"
"42.99548196956521, 11.868507327818769",2017-03-27,10.9,3.2,8,10.9,-0.4,5.9,-0.9,55.7,0.38,100,4.17,rain,,,44.6,20.3,100.8,1021.3,35.4,11.6,261.9,22.5,8,,2017-03-27T07:03:16,2017-03-27T19:33:06,1,"Rain, Partially cloudy",Becoming cloudy in the afternoon with early morning rain.,rain,"16218099999,LIRZ,16181099999,16216099999,16172099999,16206099999,LIRS,16204099999"
"42.99548196956521, 11.868507327818769",2017-03-28,14.2,2.8,8.8,14.2,0.6,7.9,-4.1,43.2,0,0,0,,,,,18.7,86.5,1022.9,0,19.4,261.4,22.5,8,,2017-03-28T07:01:30,2017-03-28T19:34:16,0,Clear,Clear conditions throughout the day.,clear-day,"16218099999,LIRZ,16216099999,16181099999,16172099999,16206099999,LIRS,16204099999"
"42.99548196956521, 11.868507327818769",2017-03-29,18.7,1.8,10.9,18.7,0,10.6,-1.2,49.5,0,0,0,,,,,15.1,102.2,1023.1,0,16.4,262,22.4,8,,2017-03-29T06:59:44,2017-03-29T19:35:25,0.01,Clear,Clear conditions throughout the day.,clear-day,"LIRV,16218099999,LIRZ,16216099999,16181099999,16172099999,16206099999,LIRS,16204099999"
"42.99548196956521, 11.868507327818769",2017-03-30,19.7,5.7,13.5,19.7,5.2,13.4,1.6,49.3,0,0,0,,,,44.6,15.6,113.8,1023.9,0,16.7,259.4,22.3,8,,2017-03-30T06:57:59,2017-03-30T19:36:35,0.04,Clear,Clear conditions throughout the day.,clear-day,"16218099999,LIRZ,16216099999,16181099999,16172099999,16206099999,LIRS,16204099999"
"42.99548196956521, 11.868507327818769",2017-03-31,20.8,5.9,14.1,20.8,4.5,13.9,3.1,53,0,0,0,,,,,8.8,95.3,1023.3,6.1,13,261.5,22.6,8,,2017-03-31T06:56:13,2017-03-31T19:37:45,0.08,Clear,Clear conditions throughout the day.,clear-day,"16218099999,LIRZ,16216099999,16181099999,16172099999,16206099999,LIRS,16204099999"
