name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"43.38041694654169, 11.511969685448864",2017-03-15,19.9,3.1,11.8,19.9,3.1,11.8,2.2,56.6,0,0,0,,,,,15,102,1026.2,1.9,16.2,223.6,19.3,8,,2017-03-15T06:25:58,2017-03-15T18:20:20,0.54,Clear,Clear conditions throughout the day.,clear-day,"16170099999,16171099999,16172099999,16206099999,LIRQ"
"43.38041694654169, 11.511969685448864",2017-03-16,20.2,3.3,11.7,20.2,3.3,11.7,3.6,61.1,0,0,0,,,,,7.6,178.5,1023.9,1.5,15,223.2,19.4,7,,2017-03-16T06:24:12,2017-03-16T18:21:32,0.57,Clear,Clear conditions throughout the day.,clear-day,"16170099999,16171099999,16172099999,16206099999,LIRQ"
"43.38041694654169, 11.511969685448864",2017-03-17,18.8,3.2,10.9,18.8,3.2,10.8,4.8,69.4,0,0,0,,,,,18.4,191.7,1020.9,2.2,14.7,225.8,19.5,8,,2017-03-17T06:22:25,2017-03-17T18:22:45,0.61,Clear,Clear conditions throughout the day.,clear-day,"16170099999,16171099999,16172099999,16206099999,LIRQ"
"43.38041694654169, 11.511969685448864",2017-03-18,18.1,6.3,12.1,18.1,4.1,11.9,7.8,76.4,0,0,0,,,,31.7,14.8,229,1015.3,19.8,12.7,207.5,17.9,8,,2017-03-18T06:20:38,2017-03-18T18:23:57,0.65,Clear,Clear conditions throughout the day.,clear-day,"16170099999,16171099999,16172099999,16206099999,LIRQ"
"43.38041694654169, 11.511969685448864",2017-03-19,18.2,9.2,13.8,18.2,9.2,13.8,9.8,77.3,0,0,0,,,,,14.2,205.2,1013.8,35.5,9.9,217.4,18.9,8,,2017-03-19T06:18:51,2017-03-19T18:25:09,0.7,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"16170099999,16171099999,16172099999,16206099999,LIRQ"
"43.38041694654169, 11.511969685448864",2017-03-20,18.3,10.2,14.2,18.3,10.2,14.2,10.5,79.3,0,0,0,,,,,11.2,205,1014.2,46.8,10,131.8,11.4,5,,2017-03-20T06:17:04,2017-03-20T18:26:21,0.75,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"16170099999,16171099999,16172099999,16206099999,LIRQ"
"43.38041694654169, 11.511969685448864",2017-03-21,19.5,9.3,14.2,19.5,8.9,14.2,9.7,76.3,0,0,0,,,,,6.4,171.3,1012.3,52.2,10.8,197.3,17,6,,2017-03-21T06:15:16,2017-03-21T18:27:33,0.79,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"16170099999,16171099999,16172099999,16206099999,LIRQ"
"43.38041694654169, 11.511969685448864",2017-03-22,17.1,9.9,13.8,17.1,9.9,13.8,10.3,79.8,0,0,0,,,,,14.7,187.2,1013.5,55.2,10.1,110.4,9.5,4,,2017-03-22T06:13:29,2017-03-22T18:28:45,0.84,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"16170099999,16171099999,16172099999,16206099999,LIRQ"
"43.38041694654169, 11.511969685448864",2017-03-23,18.3,11.5,14.5,18.3,11.5,14.5,10.4,77.6,0,0,0,,,,,14.8,140.5,1017.9,45,10.4,172.9,15,7,,2017-03-23T06:11:41,2017-03-23T18:29:57,0.89,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"16170099999,16171099999,16172099999,16206099999,LIRQ"
"43.38041694654169, 11.511969685448864",2017-03-24,22.6,8.7,15.3,22.6,8.7,15.3,8.9,68.6,0,0,0,,,,,10.6,96.6,1021.6,19.5,10.9,150.7,13,5,,2017-03-24T06:09:54,2017-03-24T18:31:08,0.93,Clear,Clear conditions throughout the day.,clear-day,"16170099999,16171099999,16172099999,16206099999,LIRQ"
