name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"43.05660960869566, 11.48519057614864",2015-03-15,10.6,6.7,9,10.6,4.4,7.3,5.6,80.1,1.07,100,4.17,rain,,,,33.1,89.3,,48.1,8.4,79.8,6.9,3,,2015-03-15T06:26:56,2015-03-15T18:19:54,0.85,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"16168099999,LIQO,16172099999,16206099999,LIRS"
"43.05660960869566, 11.48519057614864",2015-03-16,11.2,6.5,8.5,11.2,3.7,7.5,6.9,89.3,9.58,100,16.67,rain,,,,16,95.5,,68.5,5.6,44,3.8,2,,2015-03-16T06:25:11,2015-03-16T18:21:06,0.9,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"16168099999,LIQO,16172099999,16206099999,LIRS,16204099999"
"43.05660960869566, 11.48519057614864",2015-03-17,11.5,7.5,9.9,11.5,4.8,9.3,7.1,82.5,6.87,100,8.33,rain,,,,20,83.2,,68,6.6,162.5,14.1,6,,2015-03-17T06:23:25,2015-03-17T18:22:17,0.94,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"16168099999,LIQO,16172099999,16206099999,LIRS,16204099999"
"43.05660960869566, 11.48519057614864",2015-03-18,13.4,5.8,9.9,13.4,4.8,9.8,3.4,65,0,0,0,,,,,14.8,86.8,,14.2,9.7,209.7,18,7,,2015-03-18T06:21:39,2015-03-18T18:23:29,0.98,Clear,Clear conditions throughout the day.,clear-day,"16168099999,LIQO,16172099999,16206099999,LIRS,16204099999"
"43.05660960869566, 11.48519057614864",2015-03-19,14.1,3.2,9.2,14.1,3.2,9,3.3,68.7,0,0,0,,,,,13,111.9,,7.8,9.8,227.9,19.6,8,,2015-03-19T06:19:53,2015-03-19T18:24:40,1,Clear,Clear conditions throughout the day.,clear-day,"16168099999,LIQO,16172099999,16206099999,LIRS,16204099999"
"43.05660960869566, 11.48519057614864",2015-03-20,13.5,4.2,8.9,13.5,4.2,8.6,3,69.1,0,0,0,,,,,14.8,117.3,,13.2,8.7,207.5,18,7,,2015-03-20T06:18:07,2015-03-20T18:25:51,0,Clear,Clear conditions throughout the day.,clear-day,"16168099999,LIQO,16172099999,16206099999,LIRS,16204099999"
"43.05660960869566, 11.48519057614864",2015-03-21,12.2,4.5,8.6,12.2,4.1,8.5,5,78.5,0,0,0,,,,,19.2,151.4,,18.6,8.2,117.7,10.2,4,,2015-03-21T06:16:21,2015-03-21T18:27:02,0.01,Clear,Clear conditions throughout the day.,clear-day,"16168099999,LIQO,16172099999,16206099999,LIRS"
"43.05660960869566, 11.48519057614864",2015-03-22,12.8,7.5,9.8,12.8,5.8,9.2,3.6,66.5,0,0,0,,,,,27.3,75.8,,56.2,9.6,110.7,9.3,4,,2015-03-22T06:14:34,2015-03-22T18:28:13,0.03,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"16168099999,LIQO,16172099999,16206099999,LIRS"
"43.05660960869566, 11.48519057614864",2015-03-23,16,7.8,11.6,16,6.3,11.2,5.5,67,0,0,0,,,,,22.3,82.1,,39.6,10,196.4,17,7,,2015-03-23T06:12:48,2015-03-23T18:29:23,0.07,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"16168099999,LIQO,16172099999,16206099999,LIRS,16204099999"
"43.05660960869566, 11.48519057614864",2015-03-24,15.6,8,11.6,15.6,8,11.5,7.9,78.8,0.29,100,4.17,rain,,,,13,128,,53.3,9.2,176.9,15.1,6,,2015-03-24T06:11:01,2015-03-24T18:30:34,0.11,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"16168099999,LIQO,16172099999,16206099999,LIRS,16204099999"
"43.05660960869566, 11.48519057614864",2015-03-25,12.6,8.6,11,12.6,5.8,10.2,8.6,85.5,4.28,100,8.33,rain,,,,27.7,103.3,,62.5,6.7,58.6,5.2,2,,2015-03-25T06:09:15,2015-03-25T18:31:44,0.16,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"16168099999,LIQO,16172099999,16206099999,LIRS,16204099999"
"43.05660960869566, 11.48519057614864",2015-03-26,15.8,9.4,11.8,15.8,6.7,11.6,8.9,82.6,6.01,100,4.17,rain,,,48.2,28.5,201.6,,50.3,8.6,188.6,16.3,6,,2015-03-26T06:07:28,2015-03-26T18:32:54,0.21,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"16168099999,LIQO,16172099999,16206099999,LIRS,16204099999"
"43.05660960869566, 11.48519057614864",2015-03-27,12.3,7.2,10,12.3,5.3,9.7,6.1,77.6,3.2,100,8.33,rain,,,,38.9,229.7,,48.9,8.5,133.7,11.6,5,,2015-03-27T06:05:42,2015-03-27T18:34:05,0.26,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"16168099999,LIQO,16172099999,16206099999,LIRS,16204099999"
"43.05660960869566, 11.48519057614864",2015-03-28,17.1,6.5,11.6,17.1,4.4,11.2,-0.7,46.5,0,0,0,,,,,34.8,51.2,,12.8,10,258.7,22.3,8,,2015-03-28T06:03:56,2015-03-28T18:35:15,0.31,Clear,Clear conditions throughout the day.,clear-day,"16168099999,LIQO,16172099999,16206099999,LIRS"
