name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"43.57263293333333, 11.331659908131195",2000-03-15,15.2,9.7,12.6,15.2,9.6,12.6,8.4,76.41,0.08,,4.35,,,,,19.6,164,,65.3,5.1,,,,,2000-03-15T06:26:32,2000-03-15T18:21:11,0.37,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"16170099999,16158099999"
"43.57263293333333, 11.331659908131195",2000-03-16,16.8,6.9,11.6,16.8,5.1,11,2.5,55.1,0,,0,,,,,85.7,158,,3.6,10,,,,,2000-03-16T06:24:45,2000-03-16T18:22:24,0.42,Clear,Clear conditions throughout the day.,wind,"16170099999,16158099999"
"43.57263293333333, 11.331659908131195",2000-03-17,16.2,3.1,10.1,16.2,0.5,9.5,6.2,78.19,0,,0,,,,,20.5,174.2,,43.9,8.2,,,,,2000-03-17T06:22:58,2000-03-17T18:23:37,0.46,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"16170099999,16158099999"
"43.57263293333333, 11.331659908131195",2000-03-18,18.8,7.1,12.6,18.8,7.1,12.5,5.1,65.5,0,,0,,,,,22.3,135.7,,38.1,7.3,,,,,2000-03-18T06:21:10,2000-03-18T18:24:50,0.48,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"16170099999,16158099999"
"43.57263293333333, 11.331659908131195",2000-03-19,17.1,6.4,11.6,17.1,2.8,11.3,3.3,58.26,0,,0,,,,,23.7,167.9,,54.1,10.8,,,,,2000-03-19T06:19:22,2000-03-19T18:26:03,0.5,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"16170099999,16158099999"
"43.57263293333333, 11.331659908131195",2000-03-20,14.1,6.1,9.5,14.1,2.9,8.2,-2.5,46.43,0.44,,5.26,,,,,29.5,67.8,,29.8,10.4,,,,,2000-03-20T06:17:34,2000-03-20T18:27:15,0.5,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"16170099999,16158099999"
"43.57263293333333, 11.331659908131195",2000-03-21,17.8,0.1,9,17.8,-0.3,8.4,-1.3,54.04,0,,0,,,,,14.8,158,,2.2,9.9,,,,,2000-03-21T06:15:46,2000-03-21T18:28:28,0.51,Clear,Clear conditions throughout the day.,clear-day,"16170099999,16158099999"
"43.57263293333333, 11.331659908131195",2000-03-22,19.1,1.8,10.5,19.1,-1,9.9,0.9,56.95,0,,0,,,,,16.6,168.9,,0,9.9,,,,,2000-03-22T06:13:58,2000-03-22T18:29:40,0.53,Clear,Clear conditions throughout the day.,clear-day,"16170099999,16158099999"
"43.57263293333333, 11.331659908131195",2000-03-23,18.1,3.1,11,18.1,3.1,10.8,4.8,67.46,0,,0,,,,,14.8,169.4,,22.9,9.7,,,,,2000-03-23T06:12:10,2000-03-23T18:30:52,0.56,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"16170099999,16158099999"
"43.57263293333333, 11.331659908131195",2000-03-24,13.1,9.9,11.4,13.1,8.7,11.3,9.8,90.35,0,,0,,,,,14.8,111.8,,88.1,5.9,,,,,2000-03-24T06:10:22,2000-03-24T18:32:04,0.6,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"16170099999,16158099999"
"43.57263293333333, 11.331659908131195",2000-03-25,14.6,10.8,12.4,14.6,10.8,12.4,10.2,86.76,11.44,,9.52,,,,,20.5,120.9,,86.3,5.6,,,,,2000-03-25T06:08:34,2000-03-25T18:33:16,0.64,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"16170099999,16158099999"
