name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"45.48543168958465, 10.773233181002071",2006-03-15,11.8,-0.2,5.3,11.8,-0.4,4.9,-0.2,70.11,1.04,,4.17,,,,,8.3,,1017.5,10.8,7.9,,,,,2006-03-15T06:30:00,2006-03-15T18:22:30,0.5,Rain,Clear conditions throughout the day with morning rain.,rain,"16089099999,16022099999,16090099999,16094099999,16259399999"
"45.48543168958465, 10.773233181002071",2006-03-16,9.1,4.2,6.5,9.1,2,5.7,0.8,68.17,4.48,,8.33,,,,,12.7,,1017.2,52.2,7.3,,,,,2006-03-16T06:28:06,2006-03-16T18:23:49,0.52,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"16089099999,16022099999,16090099999,16094099999,16259399999"
"45.48543168958465, 10.773233181002071",2006-03-17,10.2,0.9,5.5,10.2,0.9,5.1,0.5,72.54,1.04,,4.17,,,,,7.8,,1017.7,28.8,4,,,,,2006-03-17T06:26:13,2006-03-17T18:25:09,0.53,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"16089099999,16022099999,16090099999,16094099999,16259399999"
"45.48543168958465, 10.773233181002071",2006-03-18,10.5,0.9,5.8,10.5,-1.4,5,-1.2,62.54,0,,0,,,,,13.1,,1017.6,15.3,6.9,,,,,2006-03-18T06:24:19,2006-03-18T18:26:28,0.56,Clear,Clear conditions throughout the day.,clear-day,"16089099999,16022099999,16090099999,16094099999,16259399999"
"45.48543168958465, 10.773233181002071",2006-03-19,13.1,0.6,6.1,13.1,-1.8,5.8,-1,64.08,0,,0,,,,,9.1,,1015,1.7,12.3,,,,,2006-03-19T06:22:25,2006-03-19T18:27:47,0.6,Clear,Clear conditions throughout the day.,clear-day,"16089099999,16022099999,16090099999,16094099999,16259399999"
"45.48543168958465, 10.773233181002071",2006-03-20,13.3,0.8,7.1,13.3,-2,6.7,1.2,69.27,0,,0,,,,,9.5,,1013.2,22.4,6.9,,,,,2006-03-20T06:20:31,2006-03-20T18:29:06,0.64,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"16089099999,16022099999,16090099999,16094099999,16259399999"
"45.48543168958465, 10.773233181002071",2006-03-21,8.5,4.8,7.1,8.4,4.8,6.9,5.9,92.44,7.93,,12.5,,,,,9.8,,1011.4,66.8,3.4,,,,,2006-03-21T06:18:36,2006-03-21T18:30:24,0.69,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"16089099999,16022099999,16090099999,16094099999,16259399999"
"45.48543168958465, 10.773233181002071",2006-03-22,13.5,6.5,9.3,13.5,6.3,9.3,6.7,84.37,2.13,,8.33,,,,,5.5,,1005.8,41.3,3.4,,,,,2006-03-22T06:16:42,2006-03-22T18:31:43,0.74,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"16089099999,16022099999,16090099999,16094099999,16259399999"
"45.48543168958465, 10.773233181002071",2006-03-23,13.8,5.7,9.7,13.8,5.7,9.6,6.5,81.55,1.64,,4.17,,,,,7.8,,1005.8,25.5,6.5,,,,,2006-03-23T06:14:48,2006-03-23T18:33:01,0.79,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"16089099999,16022099999,16090099999,16094099999,16259399999"
"45.48543168958465, 10.773233181002071",2006-03-24,10.1,7.4,8.9,10.1,5.6,7.7,6,82.34,0,,0,,,,,18.4,,1012,48.7,7.4,,,,,2006-03-24T06:12:54,2006-03-24T18:34:20,0.85,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"16089099999,16022099999,16090099999,16094099999,16259399999"
