,Unnamed: 0,id,name,producer,nation,local1,local2,local3,local4,varieties1,varieties2,varieties3,varieties4,varieties5,varieties6,varieties7,varieties8,varieties9,varieties10,varieties11,varieties12,type,use,abv,degree,sweet,acidity,body,tannin,price,year,ml,latitudine,longitudine,cec,cfvo,clay,nitrogen,phh2o,sand,silt
2207,2207,140831,"Frescobaldi, Lamaione",Frescobaldi,Italy,Toscana,,,,Merlot,,,,,,,,,,,,Red,Table,14~15,17~20,SWEET1,ACIDITY3,BODY3,TANNIN3,125000,2014,750,43.7806771,11.24376289731579,,,,,,,
2208,2208,140832,"Luce Della Vite, Lucente",Luce Della Vite,Italy,Toscana,,,,Merlot,Sangiovese,,,,,,,,,,,Red,Table,14~15,16~18,SWEET1,ACIDITY3,BODY4,TANNIN4,90000,2015,750,43.7806771,11.24376289731579,,,,,,,
2562,2562,141393,villa M Romeo,Gianni Gagliardo,Italy,Veneto,Verona,,,Merlot,Etc,,,,,,,,,,,Red,Table,11,15~17,SWEET4,ACIDITY2,BODY2,TANNIN2,17000,0,750,44.65130856346992,7.959115310838635,,,,,,,
2592,2592,141429,Arceno Prima Voce,Jackson wine International Kendall Jackson,Italy,Toscana,,,,Merlot,Cabernet Sauvignon,Sangiovese,Syrah & Shiraz,,,,,,,,,Red,Table,13.5,15~18,SWEET1,ACIDITY3,BODY3,TANNIN3,90000,2006,750,43.38037826115361,11.511872720831898,,,,,,,
2640,2640,141497,"Tua Rita, Redigaffi",Tua Rita,Italy,Toscana,,,,Merlot,,,,,,,,,,,,Red,Table,15,16~18,SWEET1,ACIDITY4,BODY4,TANNIN4,0,2014,750,43.05264453636364,10.703719358013432,,,,,,,
2826,2826,141866,Rosso del Giorno,GCF  GCF Group,Italy,,,,,Merlot,,,,,,,,,,,,Red,Table,12~13,16~18,SWEET1,ACIDITY3,BODY3,TANNIN3,20000,2005,750,38.943136294050326,16.463642962234065,,,,,,,
2844,2844,141885,"Bellenda, Colli di Conegliano Rosso Contrada di Concenigo",Bellenda,Italy,Veneto,,,,Merlot,Cabernet Sauvignon,Cabernet Franc,Marzemino,,,,,,,,,Red,Table,14,16~18,SWEET2,ACIDITY3,BODY3,TANNIN3,0,2015,750,45.9478977,12.2918554,,,,,,,
3437,3437,143384,"Castiglion del Bosco, Dainero",Castiglion del Bosco,Italy,Toscana,Montalcino,,,Merlot,Etc,,,,,,,,,,,Red,Table,14,16~18,SWEET1,ACIDITY3,BODY4,TANNIN3,0,2015,750,43.05660960869566,11.48519057614864,,,,,,,
3452,3452,143419,"Giacomo Marengo, Elena",Giacomo Marengo,Italy,Toscana,,,,Merlot,Sangiovese,,,,,,,,,,,Red,Table,13.5,16~18,SWEET1,ACIDITY3,BODY3,TANNIN3,120000,2002,750,43.33029052608695,11.727208821739131,,,,,,,
3457,3457,143427,"Planeta, Merlot",Planeta Wines,Italy,Sicilia,,,,Merlot,,,,,,,,,,,,Red,Table,14.5,16~18,SWEET1,ACIDITY3,BODY5,TANNIN4,0,2003,750,37.62745122405114,13.079737510581863,,,,,,,
3460,3460,143434,"Querciabella, Palafreno Toscana",Querciabella,Italy,Toscana,,,,Merlot,,,,,,,,,,,,Red,Table,14~15,16~18,SWEET1,ACIDITY4,BODY4,TANNIN4,5600000,2000,6000,43.572632933333324,11.331659908131197,,,,,,,
3470,3470,143447,"Tenuta San Leonardo, Planeta Merlot",Tenuta San Leonardo,Italy,TrentinoAlto Adige,,,,Merlot,,,,,,,,,,,,Red,Table,13,16~18,SWEET1,ACIDITY3,BODY3,TANNIN3,0,2015,750,45.733793,10.937181,,,,,,,
3472,3472,143449,Villa Gresti di San Leonardo,Tenuta San Leonardo,Italy,TrentinoAlto Adige,,,,Merlot,Carmenere,,,,,,,,,,,Red,Table,,,SWEET1,ACIDITY4,BODY3,TANNIN3,60000,2011,750,45.733793,10.937181,,,,,,,
3889,3889,144636,Rosso Miani,Miani,Italy,,,,,Merlot,Cabernet Franc,Cabernet Sauvignon,Tazzelenghe,,,,,,,,,Red,Table,13~14,17~19,SWEET1,ACIDITY3,BODY3,TANNIN3,0,0,750,46.02082462232655,13.339472375702497,,,,,,,
3931,3931,144756,"Tenuta di Trinoro, Palazzi",Tenuta di Trinoro,Italy,Toscana,,,,Merlot,,,,,,,,,,,,Red,Table,14~15,16~18,SWEET1,ACIDITY3,BODY4,TANNIN4,0,2017,750,42.99548196956521,11.868507327818767,,,,,,,
3981,3981,144861,"Castellare, Rocca di Frassinello",Castellare di Castellina,Italy,Toscana,Maremma,,,Merlot,Cabernet Sauvignon,Sangiovese,,,,,,,,,,Red,Table,14~15,16~18,SWEET1,ACIDITY3,BODY4,TANNIN3,127000,2014,750,43.445987110714285,11.27937853016592,,,,,,,
3983,3983,144863,"Frescobaldi, Giramonte",Frescobaldi,Italy,Toscana,,,,Merlot,Sangiovese,,,,,,,,,,,Red,Table,14.5,16~18,SWEET1,ACIDITY3,BODY3,TANNIN3,0,1999,750,43.7806771,11.24376289731579,,,,,,,
3987,3987,144868,"Tenimenti, Maria Merlot",Tenimenti,Italy,Sicilia,,,,Merlot,,,,,,,,,,,,Red,Table,14,15~17,SWEET1,ACIDITY3,BODY3,TANNIN3,44000,2007,750,43.05660960869566,11.48519057614864,,,,,,,
4174,4174,145130,"Michele Satta, Piastraia Bolgheri",Michele Satta,Italy,Toscana,Bolgheri,,,Merlot,Cabernet Sauvignon,Sangiovese,Syrah & Shiraz,,,,,,,,,Red,Table,,,SWEET1,ACIDITY3,BODY3,TANNIN3,0,2002,750,43.182332490007724,10.556511443840163,,,,,,,
4416,4416,145484,"Casa Vitivinicola Tinazzi, Tinazzi Dugal",Casa Vitivinicola Tinazzi,Italy,Cabernet Sauvignon,,,,Merlot,,,,,,,,,,,,Red,Table,14,16~18,SWEET1,ACIDITY3,BODY4,TANNIN3,0,2006,750,45.48543168958465,10.773233181002071,,,,,,,
4495,4495,145590,"Terlan, Torilan",Cantina Terlan,Italy,,,,,Merlot,Cabernet Sauvignon,Pinot Noir,,,,,,,,,,Red,Table,13,16~18,SWEET1,ACIDITY3,BODY4,TANNIN3,0,2016,750,46.5337886253406,11.247485822524977,,,,,,,
4899,4899,146055,"Alois Lageder, Potrico Dei Leoni Rosso",Alois Lageder,Italy,TrentinoAlto Adige,,,,Merlot,Cabernet Sauvignon,Lagrein,,,,,,,,,,Red,Table,13.3,17~19,SWEET1,ACIDITY3,BODY3,TANNIN3,0,2003,750,46.2873885,11.2098464,,,,,,,
4919,4919,146080,"Ca'del Bosco, Curtefranca Rosso",Cadel Bosco Cadel Bosco,Italy,Lombardia,,,,Merlot,Cabernet Franc,Nebbiolo,Barbera,,,,,,,,,Red,Table,,,SWEET1,ACIDITY3,BODY4,TANNIN3,0,2004,750,45.59462093968799,9.99093794156159,,,,,,,
5005,5005,146178,Marchesi di Gresy Solomerlot,Marchesi di Gresy,Italy,Piemonte,Monferrato,,,Merlot,,,,,,,,,,,,Red,Table,13.5,16~19,SWEET1,ACIDITY3,BODY3,TANNIN3,136000,2004,750,44.7254469,8.0806959,,,,,,,
5558,5558,146823,"Frescobaldi, Danzante Merlot",Frescobaldi,Italy,Sicilia,,,,Merlot,,,,,,,,,,,,Red,Table,13.5,16~18,SWEET1,ACIDITY3,BODY3,TANNIN2,0,2006,750,43.7806771,11.24376289731579,,,,,,,
5572,5572,146839,"Petra, Zingari",Petra,Italy,Toscana,,,,Merlot,Syrah & Shiraz,Petit Verdot,Sangiovese,,,,,,,,,Red,Table,,,SWEET1,ACIDITY3,BODY4,TANNIN3,46000,2017,750,43.05264453636364,10.703719358013432,,,,,,,
5630,5630,146905,"Attems, Merlot",Attems,Italy,,,,,Merlot,,,,,,,,,,,,Red,Table,13.5,16~18,SWEET1,ACIDITY3,BODY3,TANNIN3,0,2007,750,45.93548765,13.588082596036696,,,,,,,
5822,5822,147146,"Poggio Salvi, Lavischio",Poggio Salvi,Italy,Toscana,,,,Merlot,,,,,,,,,,,,Red,Table,,,SWEET1,ACIDITY3,BODY3,TANNIN3,0,2007,750,43.27881797997312,11.236230651884494,,,,,,,
5854,5854,147187,"La Montecchia, Ca'emo",La Montecchia,Italy,Veneto,,,,Merlot,Cabernet Franc,Cabernet Sauvignon,,,,,,,,,,Red,Table,12,16~18,SWEET1,ACIDITY3,BODY4,TANNIN3,54000,2007,750,45.3985762,11.7801507,,,,,,,
5862,5862,147197,"Petra, Quercegobbe",Petra,Italy,Toscana,Maremma,,,Merlot,,,,,,,,,,,,Red,Table,14~15,16~18,SWEET1,ACIDITY3,BODY5,TANNIN4,130000,2017,750,43.05264453636364,10.703719358013432,,,,,,,
5887,5887,147226,"Poli, Sarpa di Poli Riserva",Poli,Italy,Veneto,,,,Merlot,Cabernet Sauvignon,,,,,,,,,,,Hard,Etc,40,,SWEET1,ACIDITY1,BODY5,TANNIN1,0,0,750,46.0787914,10.9994069,,,,,,,
5921,5921,147281,"Di Lenardo, Merlot",Di Lenardo,Italy,,,,,Merlot,,,,,,,,,,,,Red,Table,13,16~18,SWEET1,ACIDITY3,BODY4,TANNIN3,0,2008,750,45.89400369652032,13.232994713961235,,,,,,,
5953,5953,147315,"Poliziano, In Violas Cortona",Poliziano Azienda Agricola Poliziano,Italy,Toscana,,,,Merlot,,,,,,,,,,,,Red,Table,14,16~18,SWEET1,ACIDITY3,BODY4,TANNIN4,80000,2014,750,43.13493979497239,11.844398310779752,,,,,,,
5961,5961,147328,"Villa Pillo, Cingalino Rosso di Toscana",Villa Pillo,Italy,Toscana,,,,Merlot,Cabernet Franc,,,,,,,,,,,Red,Table,13~14,16~18,SWEET1,ACIDITY3,BODY4,TANNIN3,55000,2018,750,43.5391127,10.954075,,,,,,,
5965,5965,147332,"Cadel Vispo, Cruter",Cadel Vispo,Italy,Toscana,,,,Merlot,,,,,,,,,,,,Red,Table,13.5,16~18,SWEET1,ACIDITY3,BODY4,TANNIN3,85000,2014,750,43.47057417923359,11.020946540933373,,,,,,,
5972,5972,147339,"Castello Delle Regine, Merlot",Castello Delle Regine,Italy,Umbria,,,,Merlot,,,,,,,,,,,,Red,Table,14.5,16~19,SWEET1,ACIDITY3,BODY4,TANNIN3,102000,2013,750,42.55501865713051,12.415981208297321,,,,,,,
