,Unnamed: 0,id,name,producer,nation,local1,local2,local3,local4,varieties1,varieties2,varieties3,varieties4,varieties5,varieties6,varieties7,varieties8,varieties9,varieties10,varieties11,varieties12,type,use,abv,degree,sweet,acidity,body,tannin,price,year,ml,latitudine,longitudine,cec,cfvo,clay,nitrogen,phh2o,sand,silt
5921,5921,147281,"Di Lenardo, Merlot",Di Lenardo,Italy,,,,,Merlot,,,,,,,,,,,,Red,Table,13,16~18,SWEET1,ACIDITY3,BODY4,TANNIN3,0,2008,750,45.89400369652032,13.232994713961235,331.0,207.0,314.0,583.0,71.0,224.0,462.0
5953,5953,147315,"Poliziano, In Violas Cortona",Poliziano Azienda Agricola Poliziano,Italy,Toscana,,,,Merlot,,,,,,,,,,,,Red,Table,14,16~18,SWEET1,ACIDITY3,BODY4,TANNIN4,80000,2014,750,43.13493979497239,11.844398310779752,251.0,100.0,216.0,274.0,77.0,270.0,513.0
5961,5961,147328,"Villa Pillo, Cingalino Rosso di Toscana",Villa Pillo,Italy,Toscana,,,,Merlot,Cabernet Franc,,,,,,,,,,,Red,Table,13~14,16~18,SWEET1,ACIDITY3,BODY4,TANNIN3,55000,2018,750,43.5391127,10.954075,274.0,87.0,334.0,351.0,76.0,269.0,397.0
5965,5965,147332,"Cadel Vispo, Cruter",Cadel Vispo,Italy,Toscana,,,,Merlot,,,,,,,,,,,,Red,Table,13.5,16~18,SWEET1,ACIDITY3,BODY4,TANNIN3,85000,2014,750,43.47057417923359,11.020946540933373,251.0,103.0,311.0,346.0,77.0,291.0,398.0
6186,6186,147583,"Col d'Orcia, Nearco Sant' Antimo",Col dOrcia,Italy,Toscana,Montalcino,,,Merlot,Cabernet Sauvignon,Syrah & Shiraz,,,,,,,,,,Red,Table,14~15,15~17,SWEET1,ACIDITY3,BODY5,TANNIN4,0,2015,750,42.96724163589759,11.437818726116115,266.0,132.0,288.0,344.0,73.0,319.0,393.0
6235,6235,147651,"Fornacelle, Guarda Boschi",Fornacelle,Italy,Toscana,Bolgheri,,,Merlot,Cabernet Franc,,,,,,,,,,,Red,Table,13.5,16~18,SWEET1,ACIDITY3,BODY4,TANNIN4,0,2007,750,43.17627333876615,10.595199351260263,251.0,118.0,282.0,281.0,76.0,364.0,354.0
8085,8085,149825,Prima Pietra,Riparbella,Italy,Toscana,,,,Merlot,Cabernet Sauvignon,Cabernet Franc,Petit Verdot,,,,,,,,,Red,Table,14.5,16~18,SWEET1,ACIDITY3,BODY3,TANNIN3,380000,2007,750,43.365522716449306,10.623234599415987,306.0,143.0,327.0,562.0,65.0,309.0,363.0
8087,8087,149827,Dainero,Riparbella,Italy,Toscana,,,,Merlot,Sangiovese,,,,,,,,,,,Red,Table,13.5,16~18,SWEET1,ACIDITY3,BODY3,TANNIN3,100000,2008,750,43.365522716449306,10.623234599415987,306.0,143.0,327.0,562.0,65.0,309.0,363.0
8709,8709,150532,"Bastianich, Vespa Rosso",Bastianich,Italy,Friuli Venezia Giulia,,,,Merlot,Refosco,Cabernet Sauvignon,Cabernet Franc,,,,,,,,,Red,Table,13.5,16~18,SWEET1,ACIDITY3,BODY4,TANNIN4,140000,2008,750,46.07571290833998,13.448091824388559,337.0,155.0,243.0,502.0,65.0,325.0,432.0
8749,8749,150578,"Duemani, Altrovino",Duemani,Italy,Toscana,Montalcino,,,Merlot,Cabernet Franc,,,,,,,,,,,Red,Table,13.5,16~18,SWEET1,ACIDITY3,BODY4,TANNIN3,0,2016,750,43.36527052222222,10.593618455555555,291.0,103.0,329.0,462.0,71.0,321.0,350.0
8808,8808,150654,"Bollini, Merlot ",Empson Neil  Maria Empson,Italy,TrentinoAlto Adige,,,,Merlot,,,,,,,,,,,,Red,Table,13,16~18,SWEET1,ACIDITY3,BODY3,TANNIN3,0,2013,750,46.322005262987936,11.28803473547304,279.0,206.0,227.0,847.0,63.0,443.0,330.0
8812,8812,150659,"Cantina Colli Euganei, Notte di Galileo Riserva ",Cantina Colli Euganei,Italy,Veneto,Colli Euganei,,,Merlot,Cabernet Sauvignon,,,,,,,,,,,Red,Table,14~15,16~18,SWEET1,ACIDITY3,BODY3,TANNIN1,100000,2016,750,45.30257394914711,11.763046291050657,330.0,132.0,434.0,540.0,69.0,148.0,418.0
8883,8883,150732,"La Massa, Giorgio Primo",La Massa,Italy,Toscana,,,,Merlot,Cabernet Sauvignon,Petit Verdot,,,,,,,,,,Red,Table,,,SWEET1,ACIDITY3,BODY5,TANNIN4,300000,2012,750,43.54882699798048,11.287369783041678,294.0,95.0,319.0,464.0,71.0,336.0,344.0
8937,8937,150806,Argentiera Giorgio,Argentiera Tenuta Argentiera Poggio Argentiera,Italy,Toscana,Bolgheri,,,Merlot,,,,,,,,,,,,Red,Table,15,16~18,SWEET1,ACIDITY4,BODY5,TANNIN5,0,2012,750,43.16562345787589,10.541725122077441,249.0,108.0,295.0,564.0,69.0,346.0,360.0
9119,9119,151019,Lamacia Rosso,Tenimenti Association,Italy,Friuli Venezia Giulia,,,,Merlot,Cabernet Sauvignon,Refosco,,,,,,,,,,Red,Table,12,15~17,SWEET2,ACIDITY3,BODY3,TANNIN3,25000,2010,750,45.41850010228157,11.241511455047506,267.0,133.0,264.0,614.0,69.0,302.0,434.0
10061,10061,152416,"Ca'Lojera, Monte della Guardia Rosato",Ca Lojera,Italy,Lombardia,,,,Merlot,Cabernet Sauvignon,,,,,,,,,,,Rose,Table,13,12~14,SWEET1,ACIDITY3,BODY3,TANNIN1,0,2011,750,45.452386673570814,10.641535337856407,322.0,137.0,246.0,553.0,69.0,358.0,396.0
10065,10065,152421,"Collazzi, Liberta",Collazzi,Italy,Toscana,,,,Merlot,Syrah & Shiraz,Sangiovese,,,,,,,,,,Red,Table,14,16~18,SWEET1,ACIDITY3,BODY3,TANNIN3,0,2010,750,43.71823215299291,11.19752684135428,247.0,114.0,300.0,425.0,74.0,297.0,403.0
